biosample_id,biosample_name,raw_data_identifier,material_processing_protocol_id,processedsample_placeholder,match_confidence
nmdc:bsm-11-447q1c62,EMSL 4 BONA_Oea_PRE_NotGr_NA_NA,Miesel_60009_04_BONA_Oea_PRE_Met_SPE_r1_300SA_IATp03_9250.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-447q1c62,EMSL 4 BONA_Oea_PRE_NotGr_NA_NA,Miesel_60009_04_BONA_Oea_PRE_Met_SPE_r2_300SA_IATp03_9596.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-hb183j67,EMSL 5 CLBJ_A1_PRE_NotGr_NA_NA,Miesel_60009_05_CLBJ_A1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9013.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-hb183j67,EMSL 5 CLBJ_A1_PRE_NotGr_NA_NA,Miesel_60009_05_CLBJ_A1_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9150.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-hb183j67,EMSL 5 CLBJ_A1_PRE_NotGr_NA_NA,Miesel_60009_05_CLBJ_A1_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9238.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-hb183j67,EMSL 5 CLBJ_A1_PRE_NotGr_NA_NA,Miesel_60009_05_CLBJ_A1_PRE_Met_SPE_r2_300SA_IATp03_9621.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-kfxsah36,EMSL 6 CPER_A1_PRE_NotGr_NA_NA,Miesel_60009_06_CPER_A1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9025.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-kfxsah36,EMSL 6 CPER_A1_PRE_NotGr_NA_NA,Miesel_60009_06_CPER_A1_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9120.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-kfxsah36,EMSL 6 CPER_A1_PRE_NotGr_NA_NA,Miesel_60009_06_CPER_A1_PRE_Met_SPE_r1_300SA_IATp03_9249.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-kfxsah36,EMSL 6 CPER_A1_PRE_NotGr_NA_NA,Miesel_60009_06_CPER_A1_PRE_Met_SPE_r2_300SA_IATp03_9555.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-jv4z8645,EMSL 7 DCFS_A1_PRE_NotGr_NA_NA,Miesel_60009_07_DCFS_A1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_8987.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-jv4z8645,EMSL 7 DCFS_A1_PRE_NotGr_NA_NA,Miesel_60009_07_DCFS_A1_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9121.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-jv4z8645,EMSL 7 DCFS_A1_PRE_NotGr_NA_NA,Miesel_60009_07_DCFS_A1_PRE_Met_SPE_r1_300SA_IATp03_9255.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-jv4z8645,EMSL 7 DCFS_A1_PRE_NotGr_NA_NA,Miesel_60009_07_DCFS_A1_PRE_Met_SPE_r2_300SA_IATp03_9588.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-2a214q05,EMSL 8 DELA_A_PRE_NotGr_NA_NA,Miesel_60009_08_DELA_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9016.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-2a214q05,EMSL 8 DELA_A_PRE_NotGr_NA_NA,Miesel_60009_08_DELA_A_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9087.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-2a214q05,EMSL 8 DELA_A_PRE_NotGr_NA_NA,Miesel_60009_08_DELA_A_PRE_Met_SPE_r1_300SA_IATp03_9246.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-2a214q05,EMSL 8 DELA_A_PRE_NotGr_NA_NA,Miesel_60009_08_DELA_A_PRE_Met_SPE_r2_300SA_IATp03_9580.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-1fcma647,EMSL 9 DSNY_A_PRE_NotGr_NA_NA,Miesel_60009_09_DSNY_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9006.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-1fcma647,EMSL 9 DSNY_A_PRE_NotGr_NA_NA,Miesel_60009_09_DSNY_A_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9100.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-1fcma647,EMSL 9 DSNY_A_PRE_NotGr_NA_NA,Miesel_60009_09_DSNY_A_PRE_Met_SPE_r1_300SA_IATp03_9248.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-1fcma647,EMSL 9 DSNY_A_PRE_NotGr_NA_NA,Miesel_60009_09_DSNY_A_PRE_Met_SPE_r2_300SA_IATp03_9625.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-v9wwsa76,EMSL 10 GRSM_A_PRE_NotGr_NA_NA,Miesel_60009_10_GRSM_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9050.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-v9wwsa76,EMSL 10 GRSM_A_PRE_NotGr_NA_NA,Miesel_60009_10_GRSM_A_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9114.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-v9wwsa76,EMSL 10 GRSM_A_PRE_NotGr_NA_NA,Miesel_60009_10_GRSM_A_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9180.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-v9wwsa76,EMSL 10 GRSM_A_PRE_NotGr_NA_NA,Miesel_60009_10_GRSM_A_PRE_Met_SPE_r2_300SA_IATp03_9560.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-57n0am19,EMSL 11 HEAL_Oae_PRE_NotGr_NA_NA,Miesel_60009_11_HEAL_Oae_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_8999.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-57n0am19,EMSL 11 HEAL_Oae_PRE_NotGr_NA_NA,Miesel_60009_11_HEAL_Oae_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9093.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-57n0am19,EMSL 11 HEAL_Oae_PRE_NotGr_NA_NA,Miesel_60009_11_HEAL_Oae_PRE_Met_SPE_r1_300SA_IATp03_9285.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-57n0am19,EMSL 11 HEAL_Oae_PRE_NotGr_NA_NA,Miesel_60009_11_HEAL_Oae_PRE_Met_SPE_r2_300SA_IATp03_9631.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-x6051v50,EMSL 12 JORN_Ak_PRE_NotGr_NA_NA,Miesel_60009_12_JORN_Ak_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9062.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-x6051v50,EMSL 12 JORN_Ak_PRE_NotGr_NA_NA,Miesel_60009_12_JORN_Ak_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9147.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-x6051v50,EMSL 12 JORN_Ak_PRE_NotGr_NA_NA,Miesel_60009_12_JORN_Ak_PRE_Met_SPE_r1_300SA_IATp03_9273.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-x6051v50,EMSL 12 JORN_Ak_PRE_NotGr_NA_NA,Miesel_60009_12_JORN_Ak_PRE_Met_SPE_r2_300SA_IATp03_9610.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-czpa0a23,EMSL 13 KONZ_A1_PRE_NotGr_NA_NA,Miesel_60009_13_KONZ_A1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9070.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-czpa0a23,EMSL 13 KONZ_A1_PRE_NotGr_NA_NA,Miesel_60009_13_KONZ_A1_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9091.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-czpa0a23,EMSL 13 KONZ_A1_PRE_NotGr_NA_NA,Miesel_60009_13_KONZ_A1_PRE_Met_SPE_r1_300SA_IATp03_9289.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-czpa0a23,EMSL 13 KONZ_A1_PRE_NotGr_NA_NA,Miesel_60009_13_KONZ_A1_PRE_Met_SPE_r2_300SA_IATp03_9593.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-kypvs876,EMSL 14 MLBS_A_PRE_NotGr_NA_NA,Miesel_60009_14_MLBS_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9071.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-kypvs876,EMSL 14 MLBS_A_PRE_NotGr_NA_NA,Miesel_60009_14_MLBS_A_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9128.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-kypvs876,EMSL 14 MLBS_A_PRE_NotGr_NA_NA,Miesel_60009_14_MLBS_A_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9173.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-kypvs876,EMSL 14 MLBS_A_PRE_NotGr_NA_NA,Miesel_60009_14_MLBS_A_PRE_Met_SPE_r2_300SA_IATp03_9628.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-37ythp65,EMSL 15 MOAB_A_PRE_NotGr_NA_NA,Miesel_60009_15_MOAB_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9018.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-37ythp65,EMSL 15 MOAB_A_PRE_NotGr_NA_NA,Miesel_60009_15_MOAB_A_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9079.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-37ythp65,EMSL 15 MOAB_A_PRE_NotGr_NA_NA,Miesel_60009_15_MOAB_A_PRE_Met_SPE_r1_300SA_IATp03_9262.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-37ythp65,EMSL 15 MOAB_A_PRE_NotGr_NA_NA,Miesel_60009_15_MOAB_A_PRE_Met_SPE_r2_300SA_IATp03_9643.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-z2299p05,EMSL 16 NGPR_A_PRE_NotGr_NA_NA,Miesel_60009_16_NGPR_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9022.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-z2299p05,EMSL 16 NGPR_A_PRE_NotGr_NA_NA,Miesel_60009_16_NGPR_A_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9160.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-z2299p05,EMSL 16 NGPR_A_PRE_NotGr_NA_NA,Miesel_60009_16_NGPR_A_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9196.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-z2299p05,EMSL 16 NGPR_A_PRE_NotGr_NA_NA,Miesel_60009_16_NGPR_A_PRE_Met_SPE_r2_300SA_IATp03_9603.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-188dzv79,EMSL 17 NIWO_A_PRE_NotGr_NA_NA,Miesel_60009_17_NIWO_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9047.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-188dzv79,EMSL 17 NIWO_A_PRE_NotGr_NA_NA,Miesel_60009_17_NIWO_A_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9104.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-188dzv79,EMSL 17 NIWO_A_PRE_NotGr_NA_NA,Miesel_60009_17_NIWO_A_PRE_Met_SPE_r1_300SA_IATp03_9294.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-188dzv79,EMSL 17 NIWO_A_PRE_NotGr_NA_NA,Miesel_60009_17_NIWO_A_PRE_Met_SPE_r2_300SA_IATp03_9562.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-cxebp875,EMSL 18 OSBS_A_PRE_NotGr_NA_NA,Miesel_60009_18_OSBS_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9054.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-cxebp875,EMSL 18 OSBS_A_PRE_NotGr_NA_NA,Miesel_60009_18_OSBS_A_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9130.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-cxebp875,EMSL 18 OSBS_A_PRE_NotGr_NA_NA,Miesel_60009_18_OSBS_A_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9191.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-cxebp875,EMSL 18 OSBS_A_PRE_NotGr_NA_NA,Miesel_60009_18_OSBS_A_PRE_Met_SPE_r2_300SA_IATp03_9589.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-v9e14793,EMSL 19 RMNP_A1_PRE_NotGr_NA_NA,Miesel_60009_19_RMNP_A1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9032.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-v9e14793,EMSL 19 RMNP_A1_PRE_NotGr_NA_NA,Miesel_60009_19_RMNP_A1_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9126.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-v9e14793,EMSL 19 RMNP_A1_PRE_NotGr_NA_NA,Miesel_60009_19_RMNP_A1_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9179.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-v9e14793,EMSL 19 RMNP_A1_PRE_NotGr_NA_NA,Miesel_60009_19_RMNP_A1_PRE_Met_SPE_r2_300SA_IATp03_9584.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-s5hdh733,EMSL 20 SERC_A_PRE_NotGr_NA_NA,Miesel_60009_20_SERC_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9012.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-s5hdh733,EMSL 20 SERC_A_PRE_NotGr_NA_NA,Miesel_60009_20_SERC_A_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9148.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-s5hdh733,EMSL 20 SERC_A_PRE_NotGr_NA_NA,Miesel_60009_20_SERC_A_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9189.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-s5hdh733,EMSL 20 SERC_A_PRE_NotGr_NA_NA,Miesel_60009_20_SERC_A_PRE_Met_SPE_r2_300SA_IATp03_9629.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-bbsdg778,EMSL 21 SJER_A_PRE_NotGr_NA_NA,Miesel_60009_21_SJER_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_8990.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-bbsdg778,EMSL 21 SJER_A_PRE_NotGr_NA_NA,Miesel_60009_21_SJER_A_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9137.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-bbsdg778,EMSL 21 SJER_A_PRE_NotGr_NA_NA,Miesel_60009_21_SJER_A_PRE_Met_SPE_r1_300SA_IATp03_9251.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-bbsdg778,EMSL 21 SJER_A_PRE_NotGr_NA_NA,Miesel_60009_21_SJER_A_PRE_Met_SPE_r2_300SA_IATp03_9597.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-zz785q05,EMSL 22 SOAP_A_PRE_NotGr_NA_NA,Miesel_60009_22_SOAP_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9057.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-zz785q05,EMSL 22 SOAP_A_PRE_NotGr_NA_NA,Miesel_60009_22_SOAP_A_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9085.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-zz785q05,EMSL 22 SOAP_A_PRE_NotGr_NA_NA,Miesel_60009_22_SOAP_A_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9184.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-zz785q05,EMSL 22 SOAP_A_PRE_NotGr_NA_NA,Miesel_60009_22_SOAP_A_PRE_Met_SPE_r2_300SA_IATp03_9579.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-m7137540,EMSL 23 STEI_A1_PRE_NotGr_NA_NA,Miesel_60009_23_STEI_A1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9033.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-m7137540,EMSL 23 STEI_A1_PRE_NotGr_NA_NA,Miesel_60009_23_STEI_A1_PRE_H2O_SPE_r2_28Jan23_Alder_300SA_IATp03_9094.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-m7137540,EMSL 23 STEI_A1_PRE_NotGr_NA_NA,Miesel_60009_23_STEI_A1_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9192.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-m7137540,EMSL 23 STEI_A1_PRE_NotGr_NA_NA,Miesel_60009_23_STEI_A1_PRE_Met_SPE_r2_300SA_IATp03_9623.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-t7eq2555,EMSL 24 TALL_A1_PRE_NotGr_NA_NA,Miesel_60009_24_TALL_A1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9043.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-t7eq2555,EMSL 24 TALL_A1_PRE_NotGr_NA_NA,Miesel_60009_24_TALL_A1_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9131.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-t7eq2555,EMSL 24 TALL_A1_PRE_NotGr_NA_NA,Miesel_60009_24_TALL_A1_PRE_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9241.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-t7eq2555,EMSL 24 TALL_A1_PRE_NotGr_NA_NA,Miesel_60009_24_TALL_A1_PRE_Met_SPE_r2_300SA_IATp03_9587.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-5pr0md39,EMSL 25 TREE_A1_PRE_NotGr_NA_NA,Miesel_60009_25_TREE_A1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9029.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-5pr0md39,EMSL 25 TREE_A1_PRE_NotGr_NA_NA,Miesel_60009_25_TREE_A1_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9162.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-5pr0md39,EMSL 25 TREE_A1_PRE_NotGr_NA_NA,Miesel_60009_25_TREE_A1_PRE_Met_SPE_r1_300SA_IATp03_9292.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-5pr0md39,EMSL 25 TREE_A1_PRE_NotGr_NA_NA,Miesel_60009_25_TREE_A1_PRE_Met_SPE_r2_300SA_IATp03_9565.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-3tk5be27,EMSL 26 UNDE_A_PRE_NotGr_NA_NA,Miesel_60009_26_UNDE_A_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_8996.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-3tk5be27,EMSL 26 UNDE_A_PRE_NotGr_NA_NA,Miesel_60009_26_UNDE_A_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9155.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-3tk5be27,EMSL 26 UNDE_A_PRE_NotGr_NA_NA,Miesel_60009_26_UNDE_A_PRE_Met_SPE_r1_300SA_IATp03_9279.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-3tk5be27,EMSL 26 UNDE_A_PRE_NotGr_NA_NA,Miesel_60009_26_UNDE_A_PRE_Met_SPE_r2_300SA_IATp03_9640.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-81nkhg93,EMSL 27 WREF_A1_PRE_NotGr_NA_NA,Miesel_60009_27_WREF_A1_PRE_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9060.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-81nkhg93,EMSL 27 WREF_A1_PRE_NotGr_NA_NA,Miesel_60009_27_WREF_A1_PRE_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9107.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-81nkhg93,EMSL 27 WREF_A1_PRE_NotGr_NA_NA,Miesel_60009_27_WREF_A1_PRE_Met_SPE_r1_300SA_IATp03_9277.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-81nkhg93,EMSL 27 WREF_A1_PRE_NotGr_NA_NA,Miesel_60009_27_WREF_A1_PRE_Met_SPE_r2_300SA_IATp03_9598.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-t2j2tb83,EMSL 37 ABBY_A_POST_NotGr_MST_33,Miesel_60009_37_ABBY_A_POST_MST_33_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9021.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-t2j2tb83,EMSL 37 ABBY_A_POST_NotGr_MST_33,Miesel_60009_37_ABBY_A_POST_MST_33_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9118.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-t2j2tb83,EMSL 37 ABBY_A_POST_NotGr_MST_33,Miesel_60009_37_ABBY_A_POST_MST_33_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9178.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-t2j2tb83,EMSL 37 ABBY_A_POST_NotGr_MST_33,Miesel_60009_37_ABBY_A_POST_MST_33_Met_SPE_r2_300SA_IATp03_9630.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-g55mqq95,EMSL 38 BARR_Oaf_POST_NotGr_MST_33,Miesel_60009_38_BARR_Oaf_POST_MST_33_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_9053.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-g55mqq95,EMSL 38 BARR_Oaf_POST_NotGr_MST_33,Miesel_60009_38_BARR_Oaf_POST_MST_33_H2O_SPE_r2_28Jan23_Fir_300SA_IATp03_9142.d,ALL,ProcessedSample6_NOM,high
nmdc:bsm-11-g55mqq95,EMSL 38 BARR_Oaf_POST_NotGr_MST_33,Miesel_60009_38_BARR_Oaf_POST_MST_33_Met_SPE_r1_30Jan23_Fir_300SA_IATp03_9183.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-g55mqq95,EMSL 38 BARR_Oaf_POST_NotGr_MST_33,Miesel_60009_38_BARR_Oaf_POST_MST_33_Met_SPE_r2_300SA_IATp03_9635.d,ALL,ProcessedSample7_NOM,high
nmdc:bsm-11-0n65yd98,EMSL 39 BLAN_Ap1_POST_NotGr_MST_33,Miesel_60009_39_BLAN_Ap1_POST_MST_33_H2O_SPE_r1_26Jan23_Alder_300SA_IATp03_8994.d,ALL,ProcessedSample6_NOM,high
