id,name,samp_name,analysis_type,insdc_biosample_identifiers
nmdc:bsm-11-pcsyhc74,LabB_03_Axe_3,LabB_03_Axe_3,['metabolomics'],['biosample:SAMN43527728']
nmdc:bsm-11-776w0167,LabB_04_Axe_4,LabB_04_Axe_4,['metabolomics'],['biosample:SAMN43527794']
nmdc:bsm-11-mj8x9p33,LabB_05_Axe_5,LabB_05_Axe_5,['metabolomics'],['biosample:SAMN43527736']
nmdc:bsm-11-aq96zb32,LabB_06_Axe_6,LabB_06_Axe_6,['metabolomics'],['biosample:SAMN43527771']
nmdc:bsm-11-brs7pn04,LabB_07_Axe_7,LabB_07_Axe_7,['metabolomics'],['biosample:SAMN43527766']
nmdc:bsm-11-c8b1e472,LabB_08_Syn16_1,LabB_08_Syn16_1,['metabolomics'],['biosample:SAMN43527763']
nmdc:bsm-11-w93pvn61,LabB_09_Syn16_2,LabB_09_Syn16_2,['metabolomics'],['biosample:SAMN43527705']
nmdc:bsm-11-1vzn7q59,LabB_10_Syn16_3,LabB_10_Syn16_3,['metabolomics'],['biosample:SAMN43527818']
nmdc:bsm-11-qb4jy084,LabB_11_Syn16_4,LabB_11_Syn16_4,['metabolomics'],['biosample:SAMN43527724']
nmdc:bsm-11-xyw8rz73,LabB_12_Syn16_5,LabB_12_Syn16_5,['metabolomics'],['biosample:SAMN43527700']
nmdc:bsm-11-729ztw69,LabB_13_Syn16_6,LabB_13_Syn16_6,['metabolomics'],['biosample:SAMN43527796']
nmdc:bsm-11-gm2c2910,LabB_14_Syn16_7,LabB_14_Syn16_7,['metabolomics'],['biosample:SAMN43527752']
nmdc:bsm-11-6a4v6p04,LabB_15_Syn17_1,LabB_15_Syn17_1,['metabolomics'],['biosample:SAMN43527802']
nmdc:bsm-11-c0x8c549,LabB_16_Syn17_2,LabB_16_Syn17_2,['metabolomics'],['biosample:SAMN43527764']
nmdc:bsm-11-6f5zvw02,LabB_17_Syn17_3,LabB_17_Syn17_3,['metabolomics'],['biosample:SAMN43527800']
nmdc:bsm-11-3srygf50,LabB_18_Syn17_4,LabB_18_Syn17_4,['metabolomics'],['biosample:SAMN43527812']
nmdc:bsm-11-w23bxd55,LabB_19_Syn17_5,LabB_19_Syn17_5,['metabolomics'],['biosample:SAMN43527706']
nmdc:bsm-11-a7bxxs53,LabB_20_Syn17_6,LabB_20_Syn17_6,['metabolomics'],['biosample:SAMN43527775']
nmdc:bsm-11-jakxpg14,LabB_21_Syn17_7,LabB_21_Syn17_7,['metabolomics'],['biosample:SAMN43527747']
nmdc:bsm-11-d7mwm979,LabB_22_TxCtrl_1,LabB_22_TxCtrl_1,['metabolomics'],['biosample:SAMN43527760']
nmdc:bsm-11-0cqdm784,LabB_23_TxCtrl_2,LabB_23_TxCtrl_2,['metabolomics'],['biosample:SAMN43527826']
nmdc:bsm-11-vg4qr366,LabB_24_TxCtrl_3,LabB_24_TxCtrl_3,['metabolomics'],['biosample:SAMN43527710']
nmdc:bsm-11-z4fryw87,LabB_25_TxCtrl_4,LabB_25_TxCtrl_4,['metabolomics'],['biosample:SAMN43527695']
nmdc:bsm-11-r6ajaz03,LabB_26_TxCtrl_5,LabB_26_TxCtrl_5,['metabolomics'],['biosample:SAMN43527722']
nmdc:bsm-11-591gft81,LabB_27_TxCtrl_6,LabB_27_TxCtrl_6,['metabolomics'],['biosample:SAMN43527805']
nmdc:bsm-11-1dwqny12,LabB_28_TxCtrl_7,LabB_28_TxCtrl_7,['metabolomics'],['biosample:SAMN43527822']
nmdc:bsm-11-g2h93009,LabC_01_Axe_1,LabC_01_Axe_1,['metabolomics'],['biosample:SAMN43527753']
nmdc:bsm-11-8b4rh852,LabC_02_Axe_2,LabC_02_Axe_2,['metabolomics'],['biosample:SAMN43527786']
nmdc:bsm-11-mz5hxz22,LabC_03_Axe_3,LabC_03_Axe_3,['metabolomics'],['biosample:SAMN43527735']
nmdc:bsm-11-vpyyfy41,LabC_04_Axe_4,LabC_04_Axe_4,['metabolomics'],['biosample:SAMN43527708']
nmdc:bsm-11-zaw2am78,LabC_05_Axe_5,LabC_05_Axe_5,['metabolomics'],['biosample:SAMN43527692']
nmdc:bsm-11-8egt1c03,LabC_06_Axe_6,LabC_06_Axe_6,['metabolomics'],['biosample:SAMN43527785']
nmdc:bsm-11-2khbs287,LabC_07_Axe_7,LabC_07_Axe_7,['metabolomics'],['biosample:SAMN43527816']
nmdc:bsm-11-sxesr627,LabC_08_Syn16_1,LabC_08_Syn16_1,['metabolomics'],['biosample:SAMN43527716']
nmdc:bsm-11-1g814q21,LabC_09_Syn16_2,LabC_09_Syn16_2,['metabolomics'],['biosample:SAMN43527821']
nmdc:bsm-11-0rygg262,LabC_10_Syn16_3,LabC_10_Syn16_3,['metabolomics'],['biosample:SAMN43527825']
nmdc:bsm-11-zmy8av80,LabC_11_Syn16_4,LabC_11_Syn16_4,['metabolomics'],['biosample:SAMN43527690']
nmdc:bsm-11-fcccde05,LabC_12_Syn16_5,LabC_12_Syn16_5,['metabolomics'],['biosample:SAMN43527756']
nmdc:bsm-11-n4d95s05,LabC_13_Syn16_6,LabC_13_Syn16_6,['metabolomics'],['biosample:SAMN43527733']
nmdc:bsm-11-ktgy7z27,LabC_14_Syn16_7,LabC_14_Syn16_7,['metabolomics'],['biosample:SAMN43527738']
nmdc:bsm-11-tex2hk40,LabC_15_Syn17_1,LabC_15_Syn17_1,['metabolomics'],['biosample:SAMN43527713']
nmdc:bsm-11-wvtvd315,LabC_16_Syn17_2,LabC_16_Syn17_2,['metabolomics'],['biosample:SAMN43527704']
nmdc:bsm-11-54swpq24,LabC_17_Syn17_3,LabC_17_Syn17_3,['metabolomics'],['biosample:SAMN43527807']
nmdc:bsm-11-7hg82q14,LabC_18_Syn17_4,LabC_18_Syn17_4,['metabolomics'],['biosample:SAMN43527792']
nmdc:bsm-11-mzf6m779,LabC_19_Syn17_5,LabC_19_Syn17_5,['metabolomics'],['biosample:SAMN43527734']
nmdc:bsm-11-jbvp3524,LabC_20_Syn17_6,LabC_20_Syn17_6,['metabolomics'],['biosample:SAMN43527746']
nmdc:bsm-11-k0qnt697,LabC_21_Syn17_7,LabC_21_Syn17_7,['metabolomics'],['biosample:SAMN43527741']
nmdc:bsm-11-1mw29n05,LabC_22_TxCtrl_1,LabC_22_TxCtrl_1,['metabolomics'],['biosample:SAMN43527820']
nmdc:bsm-11-7srsnn95,LabC_23_TxCtrl_2,LabC_23_TxCtrl_2,['metabolomics'],['biosample:SAMN43527788']
nmdc:bsm-11-petdv273,LabC_24_TxCtrl_3,LabC_24_TxCtrl_3,['metabolomics'],['biosample:SAMN43527727']
nmdc:bsm-11-3j94py47,LabC_25_TxCtrl_4,LabC_25_TxCtrl_4,['metabolomics'],['biosample:SAMN43527815']
nmdc:bsm-11-9132b177,LabC_26_TxCtrl_5,LabC_26_TxCtrl_5,['metabolomics'],['biosample:SAMN43527782']
nmdc:bsm-11-fgfw9z67,LabC_27_TxCtrl_6,LabC_27_TxCtrl_6,['metabolomics'],['biosample:SAMN43527755']
nmdc:bsm-11-cw2hfh88,LabC_28_TxCtrl_7,LabC_28_TxCtrl_7,['metabolomics'],['biosample:SAMN43527761']
nmdc:bsm-11-ay268y30,LabD_01_Axe_1,LabD_01_Axe_1,['metabolomics'],['biosample:SAMN43527769']
nmdc:bsm-11-3nb25207,LabD_02_Axe_2,LabD_02_Axe_2,['metabolomics'],['biosample:SAMN43527813']
nmdc:bsm-11-e8dc5062,LabD_03_Axe_3,LabD_03_Axe_3,['metabolomics'],['biosample:SAMN43527757']
nmdc:bsm-11-9bd9gw03,LabD_04_Axe_4,LabD_04_Axe_4,['metabolomics'],['biosample:SAMN43527779']
nmdc:bsm-11-atjxz069,LabD_05_Axe_5,LabD_05_Axe_5,['metabolomics'],['biosample:SAMN43527770']
nmdc:bsm-11-yr7zg844,LabD_06_Axe_6,LabD_06_Axe_6,['metabolomics'],['biosample:SAMN43527697']
nmdc:bsm-11-gxdrn484,LabD_07_Axe_7,LabD_07_Axe_7,['metabolomics'],['biosample:SAMN43527751']
nmdc:bsm-11-x4en7x93,LabD_08_Syn16_1,LabD_08_Syn16_1,['metabolomics'],['biosample:SAMN43527702']
nmdc:bsm-11-rqcskm71,LabD_09_Syn16_2,LabD_09_Syn16_2,['metabolomics'],['biosample:SAMN43527719']
nmdc:bsm-11-7qjb7v06,LabD_10_Syn16_3,LabD_10_Syn16_3,['metabolomics'],['biosample:SAMN43527790']
nmdc:bsm-11-k2w4r482,LabD_11_Syn16_4,LabD_11_Syn16_4,['metabolomics'],['biosample:SAMN43527740']
nmdc:bsm-11-629yaj45,LabD_12_Syn16_5,LabD_12_Syn16_5,['metabolomics'],['biosample:SAMN43527803']
nmdc:bsm-11-9ype9h42,LabD_13_Syn16_6,LabD_13_Syn16_6,['metabolomics'],['biosample:SAMN43527777']
nmdc:bsm-11-nfjfn069,LabD_14_Syn16_7,LabD_14_Syn16_7,['metabolomics'],['biosample:SAMN43527731']
nmdc:bsm-11-aeddj751,LabD_15_Syn17_1,LabD_15_Syn17_1,['metabolomics'],['biosample:SAMN43527773']
nmdc:bsm-11-bp3vjp67,LabD_16_Syn17_2,LabD_16_Syn17_2,['metabolomics'],['biosample:SAMN43527767']
nmdc:bsm-11-tg2fkx98,LabD_17_Syn17_3,LabD_17_Syn17_3,['metabolomics'],['biosample:SAMN43527712']
nmdc:bsm-11-rwfg6484,LabD_18_Syn17_4,LabD_18_Syn17_4,['metabolomics'],['biosample:SAMN43527718']
nmdc:bsm-11-q0j1j579,LabD_19_Syn17_5,LabD_19_Syn17_5,['metabolomics'],['biosample:SAMN43527726']
nmdc:bsm-11-3k70k365,LabD_20_Syn17_6,LabD_20_Syn17_6,['metabolomics'],['biosample:SAMN43527814']
nmdc:bsm-11-jfxaxq36,LabD_21_Syn17_7,LabD_21_Syn17_7,['metabolomics'],['biosample:SAMN43527744']
nmdc:bsm-11-sn0xpa14,LabD_22_TxCtrl_1,LabD_22_TxCtrl_1,['metabolomics'],['biosample:SAMN43527717']
nmdc:bsm-11-8yc50026,LabD_23_TxCtrl_2,LabD_23_TxCtrl_2,['metabolomics'],['biosample:SAMN43527783']
nmdc:bsm-11-jr4j9h39,LabD_24_TxCtrl_3,LabD_24_TxCtrl_3,['metabolomics'],['biosample:SAMN43527743']
nmdc:bsm-11-rmvker47,LabD_25_TxCtrl_4,LabD_25_TxCtrl_4,['metabolomics'],['biosample:SAMN43527721']
nmdc:bsm-11-zpp4e345,LabD_26_TxCtrl_5,LabD_26_TxCtrl_5,['metabolomics'],['biosample:SAMN43527689']
nmdc:bsm-11-ac45fp73,LabD_27_TxCtrl_6,LabD_27_TxCtrl_6,['metabolomics'],['biosample:SAMN43527774']
nmdc:bsm-11-93c34e28,LabD_28_TxCtrl_7,LabD_28_TxCtrl_7,['metabolomics'],['biosample:SAMN43527781']
nmdc:bsm-11-7eb1ca11,LabE_01_Axe_1,LabE_01_Axe_1,['metabolomics'],['biosample:SAMN43527793']
nmdc:bsm-11-6mhhe280,LabE_02_Axe_2,LabE_02_Axe_2,['metabolomics'],['biosample:SAMN43527798']
nmdc:bsm-11-e3dqbt44,LabE_03_Axe_3,LabE_03_Axe_3,['metabolomics'],['biosample:SAMN43527758']
nmdc:bsm-11-57065s27,LabE_04_Axe_4,LabE_04_Axe_4,['metabolomics'],['biosample:SAMN43527806']
nmdc:bsm-11-5z1jah62,LabE_05_Axe_5,LabE_05_Axe_5,['metabolomics'],['biosample:SAMN43527804']
nmdc:bsm-11-7q0tq290,LabE_06_Axe_6,LabE_06_Axe_6,['metabolomics'],['biosample:SAMN43527791']
nmdc:bsm-11-y4jm9d42,LabE_07_Axe_7,LabE_07_Axe_7,['metabolomics'],['biosample:SAMN43527699']
nmdc:bsm-11-q9cpse51,LabE_08_Syn16_1,LabE_08_Syn16_1,['metabolomics'],['biosample:SAMN43527725']
nmdc:bsm-11-4y0frx96,LabE_09_Syn16_2,LabE_09_Syn16_2,['metabolomics'],['biosample:SAMN43527808']
nmdc:bsm-11-jrdbmk15,LabE_10_Syn16_3,LabE_10_Syn16_3,['metabolomics'],['biosample:SAMN43527742']
nmdc:bsm-11-6vbr8c12,LabE_11_Syn16_4,LabE_11_Syn16_4,['metabolomics'],['biosample:SAMN43527797']
nmdc:bsm-11-7qyr4e39,LabE_12_Syn16_5,LabE_12_Syn16_5,['metabolomics'],['biosample:SAMN43527789']
nmdc:bsm-11-btqpfk48,LabE_13_Syn16_6,LabE_13_Syn16_6,['metabolomics'],['biosample:SAMN43527765']
nmdc:bsm-11-9km6ce82,LabE_14_Syn16_7,LabE_14_Syn16_7,['metabolomics'],['biosample:SAMN43527778']
nmdc:bsm-11-cet53e85,LabE_15_Syn17_1,LabE_15_Syn17_1,['metabolomics'],['biosample:SAMN43527762']
nmdc:bsm-11-ze3v5k36,LabE_16_Syn17_2,LabE_16_Syn17_2,['metabolomics'],['biosample:SAMN43527691']
nmdc:bsm-11-a6r4tr70,LabE_17_Syn17_3,LabE_17_Syn17_3,['metabolomics'],['biosample:SAMN43527776']
nmdc:bsm-11-vmng0j37,LabE_18_Syn17_4,LabE_18_Syn17_4,['metabolomics'],['biosample:SAMN43527709']
nmdc:bsm-11-gy481c91,LabE_19_Syn17_5,LabE_19_Syn17_5,['metabolomics'],['biosample:SAMN43527750']
nmdc:bsm-11-bkaq0225,LabE_20_Syn17_6,LabE_20_Syn17_6,['metabolomics'],['biosample:SAMN43527768']
nmdc:bsm-11-z9787c48,LabE_21_Syn17_7,LabE_21_Syn17_7,['metabolomics'],['biosample:SAMN43527693']
nmdc:bsm-11-t9g52730,LabE_22_TxCtrl_1,LabE_22_TxCtrl_1,['metabolomics'],['biosample:SAMN43527714']
nmdc:bsm-11-k6brat40,LabE_23_TxCtrl_2,LabE_23_TxCtrl_2,['metabolomics'],['biosample:SAMN43527739']
nmdc:bsm-11-112jxh69,LabE_24_TxCtrl_3,LabE_24_TxCtrl_3,['metabolomics'],['biosample:SAMN43527824']
nmdc:bsm-11-z6tprk20,LabE_25_TxCtrl_4,LabE_25_TxCtrl_4,['metabolomics'],['biosample:SAMN43527694']
nmdc:bsm-11-fqp2mq07,LabE_26_TxCtrl_5,LabE_26_TxCtrl_5,['metabolomics'],['biosample:SAMN43527754']
nmdc:bsm-11-8jk2bw63,LabE_27_TxCtrl_6,LabE_27_TxCtrl_6,['metabolomics'],['biosample:SAMN43527784']
nmdc:bsm-11-1zx6fg10,LabE_28_TxCtrl_7,LabE_28_TxCtrl_7,['metabolomics'],['biosample:SAMN43527817']
