raw_data_identifier,biosample_id,biosample_name,processedsample_placeholder,material_processing_protocol_id,match_confidence
EMSL_64_ABBY_A_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-3ekzh153,EMSL 64 ABBY_A_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_86_STEI_A1_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-jwsqte26,EMSL 86 STEI_A1_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_8_DELA_A_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-2a214q05,EMSL 8 DELA_A_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_84_SJER_A_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-1nkycf30,EMSL 84 SJER_A_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_65_BARR_Oaf_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-kag46n94,EMSL 65 BARR_Oaf_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_7_DCFS_A1_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-jv4z8645,EMSL 7 DCFS_A1_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_81_OSBS_A_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-k3ms3q32,EMSL 81 OSBS_A_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_75_JORN_Ak_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-w1s6zj21,EMSL 75 JORN_Ak_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_44_DELA_A_POST_NotGr_MST_33.cdf,nmdc:bsm-11-zjb1z714,EMSL 44 DELA_A_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_22_SOAP_A_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-zz785q05,EMSL 22 SOAP_A_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_76_KONZ_A1_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-rn50jw68,EMSL 76 KONZ_A1_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_58_SOAP_A_POST_NotGr_MST_33.cdf,nmdc:bsm-11-ybyjz464,EMSL 58 SOAP_A_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_3_BLAN_Ap1_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-dgpxax84,EMSL 3 BLAN_Ap1_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_50_MLBS_A_POST_NotGr_MST_33.cdf,nmdc:bsm-11-0vgkpt58,EMSL 50 MLBS_A_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_52_NGPR_A_POST_NotGr_MST_33.cdf,nmdc:bsm-11-v2kqzp11,EMSL 52 NGPR_A_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_6_CPER_A1_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-kfxsah36,EMSL 6 CPER_A1_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_12_JORN_Ak_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-x6051v50,EMSL 12 JORN_Ak_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_78_MOAB_A_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-f744kg86,EMSL 78 MOAB_A_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
GCMS_Blank_04_GCMS03_2023Apr25.cdf,,,,,
GCMS_FAMEs_02_GCMS03_2023Apr25.cdf,,,ProcessedSample4_GCMS,ALL,calibrant
GCMS_Blank_01_GCMS03_2023Apr27.cdf,,,,,
GCMS_Blank_02_GCMS03_2023Apr27.cdf,,,,,
GCMS_FAMEs_01_GCMS03_2023Apr27.cdf,,,ProcessedSample4_GCMS,ALL,calibrant
GCMS_Blank_03_GCMS03_2023Apr27.cdf,,,,,
EMSL_24_TALL_A1_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-t7eq2555,EMSL 24 TALL_A1_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_69_CPER_A1_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-fs0nam69,EMSL 69 CPER_A1_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_2_BARR_Oaf_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-pmcm6s22,EMSL 2 BARR_Oaf_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_79_NGPR_A_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-feb57406,EMSL 79 NGPR_A_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_5_CLBJ_A1_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-hb183j67,EMSL 5 CLBJ_A1_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_59_STEI_A1_POST_NotGr_MST_33.cdf,nmdc:bsm-11-kvxpkn12,EMSL 59 STEI_A1_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_55_RMNP_A1_POST_NotGr_MST_33.cdf,nmdc:bsm-11-7dmzve23,EMSL 55 RMNP_A1_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_48_JORN_Ak_POST_NotGr_MST_33.cdf,nmdc:bsm-11-ypsg5973,EMSL 48 JORN_Ak_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_16_NGPR_A_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-z2299p05,EMSL 16 NGPR_A_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_87_TALL_A1_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-f3ebmn35,EMSL 87 TALL_A1_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_82_RMNP_A1_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-jexdz609,EMSL 82 RMNP_A1_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_56_SERC_A_POST_NotGr_MST_33.cdf,nmdc:bsm-11-zd1wbz45,EMSL 56 SERC_A_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_47_HEAL_Oae_POST_NotGr_MST_33.cdf,nmdc:bsm-11-56ck4y26,EMSL 47 HEAL_Oae_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_1_ABBY_A_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-xjd8t932,EMSL 1 ABBY_A_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_41_CLBJ_A1_POST_NotGr_MST_33.cdf,nmdc:bsm-11-2cj4cf88,EMSL 41 CLBJ_A1_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_63_WREF_A1_POST_NotGr_MST_33.cdf,nmdc:bsm-11-bm60ch89,EMSL 63 WREF_A1_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_10_GRSM_A_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-v9wwsa76,EMSL 10 GRSM_A_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_72_DSNY_A_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-pywm3v18,EMSL 72 DSNY_A_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_11_HEAL_Oae_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-57n0am19,EMSL 11 HEAL_Oae_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_23_STEI_A1_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-m7137540,EMSL 23 STEI_A1_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
GCMS_Blank_04_GCMS03_2023Apr27.cdf,,,,,
GCMS_FAMEs_02_GCMS03_2023Apr27.cdf,,,ProcessedSample4_GCMS,ALL,calibrant
GCMS_Blank_01_GCMS03_2023May01.cdf,,,,,
GCMS_Blank_02_GCMS03_2023May01.cdf,,,,,
GCMS_FAMEs_01_GCMS03_2023May01.cdf,,,ProcessedSample4_GCMS,ALL,calibrant
GCMS_Blank_03_GCMS03_2023May01.cdf,,,,,
EMSL_14_MLBS_A_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-kypvs876,EMSL 14 MLBS_A_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_80_NIWO_A_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-srrzgw96,EMSL 80 NIWO_A_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_62_UNDE_A_POST_NotGr_MST_33.cdf,nmdc:bsm-11-8gy0dx46,EMSL 62 UNDE_A_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_51_MOAB_A_POST_NotGr_MST_33.cdf,nmdc:bsm-11-aw9xpa90,EMSL 51 MOAB_A_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_Run_Blank_60009_GCMS.cdf,,,,,
EMSL_61_TREE_A1_POST_NotGr_MST_33.cdf,nmdc:bsm-11-8qr96b28,EMSL 61 TREE_A1_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_20_SERC_A_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-s5hdh733,EMSL 20 SERC_A_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_19_RMNP_A1_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-v9e14793,EMSL 19 RMNP_A1_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_83_SERC_A_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-2aew5811,EMSL 83 SERC_A_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_39_BLAN_Ap1_POST_NotGr_MST_33.cdf,nmdc:bsm-11-0n65yd98,EMSL 39 BLAN_Ap1_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_90_WREF_A1_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-g8qs8k06,EMSL 90 WREF_A1_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_46_GRSM_A_POST_NotGr_MST_33.cdf,nmdc:bsm-11-262q3j19,EMSL 46 GRSM_A_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_66_BLAN_Ap1_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-kh27cs78,EMSL 66 BLAN_Ap1_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_26_UNDE_A_PRE_NotGr_NA_NA.cdf,nmdc:bsm-11-3tk5be27,EMSL 26 UNDE_A_PRE_NotGr_NA_NA,ProcessedSample4_GCMS,ALL,high
EMSL_42_CPER_A1_POST_NotGr_MST_33.cdf,nmdc:bsm-11-9hpkqy23,EMSL 42 CPER_A1_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_74-HEAL_Oae_POST_NotGr_MSTplus5_33.cdf,,,,,
EMSL_37_ABBY_A_POST_NotGr_MST_33.cdf,nmdc:bsm-11-t2j2tb83,EMSL 37 ABBY_A_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_45_DSNY_A_POST_NotGr_MST_33.cdf,nmdc:bsm-11-8bg8gj60,EMSL 45 DSNY_A_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
EMSL_71_DELA_A_POST_NotGr_MSTplus5_33.cdf,nmdc:bsm-11-hmwb5933,EMSL 71 DELA_A_POST_NotGr_MST+5_33,ProcessedSample4_GCMS,ALL,high
EMSL_40_BONA_Oea_POST_NotGr_MST_33.cdf,nmdc:bsm-11-89sqhh96,EMSL 40 BONA_Oea_POST_NotGr_MST_33,ProcessedSample4_GCMS,ALL,high
GCMS_Blank_04_GCMS03_2023May01.cdf,,,,,
GCMS_FAMEs_02_GCMS03_2023May01.cdf,,,ProcessedSample4_GCMS,ALL,calibrant
