raw_data_file_short,biosample.associated_studies,material_processing_type,raw_data_file,processed_data_directory,mass_spec_configuration_name,chromat_configuration_name,execution_resource,instrument_used,file_name,instrument_analysis_end_date,url,raw_data_url,sample_id,manifest_id,processing_institution_workflow,processing_institution_generation
1B9_1_31_berry-2-s017-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/1B9_1_31_berry-2-s017-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/1B9_1_31_berry-2-s017-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,1B9_1_31_berry-2-s017-a04.raw,2019-02-06T07:53:12Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE1and2/1B9_1_31_berry-2-s017-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE1and2%2F1B9_1_31_berry-2-s017-a04.raw&forceDownload=true,nmdc:procsm-11-6z7fsf26,nmdc:manif-12-y3xvdp79,NMDC,JGI
1E11_2_27_bowen-74-s010-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/1E11_2_27_bowen-74-s010-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/1E11_2_27_bowen-74-s010-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,,,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE1and2/1E11_2_27_bowen-74-s010-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE1and2%2F1E11_2_27_bowen-74-s010-a04.raw&forceDownload=true,nmdc:procsm-11-v37r9e58,nmdc:manif-12-y3xvdp79,NMDC,JGI
4D11_1_48_thomas-18-s040-a03.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/4D11_1_48_thomas-18-s040-a03.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/4D11_1_48_thomas-18-s040-a03.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,4D11_1_48_thomas-18-s040-a03.raw,2019-02-11T15:08:22Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4D11_1_48_thomas-18-s040-a03.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4D11_1_48_thomas-18-s040-a03.raw&forceDownload=true,nmdc:procsm-11-mw1scb62,nmdc:manif-12-y3xvdp79,NMDC,JGI
4B2_2_57_pinto-63-s021-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/4B2_2_57_pinto-63-s021-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/4B2_2_57_pinto-63-s021-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,4B2_2_57_pinto-63-s021-a04.raw,2019-02-12T02:51:40Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4B2_2_57_pinto-63-s021-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4B2_2_57_pinto-63-s021-a04.raw&forceDownload=true,nmdc:procsm-11-y5zbep28,nmdc:manif-12-y3xvdp79,NMDC,JGI
5A3_2_9_angenent-65-s002-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/5A3_2_9_angenent-65-s002-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/5A3_2_9_angenent-65-s002-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,5A3_2_9_angenent-65-s002-a04.raw,2019-02-03T16:29:07Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE5/5A3_2_9_angenent-65-s002-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE5%2F5A3_2_9_angenent-65-s002-a04.raw&forceDownload=true,nmdc:procsm-11-26e3r878,nmdc:manif-12-y3xvdp79,NMDC,JGI
3E11_2_16_uren-82-s001-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/3E11_2_16_uren-82-s001-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/3E11_2_16_uren-82-s001-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,3E11_2_16_uren-82-s001-a04.raw,2019-02-10T10:17:23Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/3E11_2_16_uren-82-s001-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F3E11_2_16_uren-82-s001-a04.raw&forceDownload=true,nmdc:procsm-11-aya0x575,nmdc:manif-12-y3xvdp79,NMDC,JGI
4E3_1_58_thomas-18-s032-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/4E3_1_58_thomas-18-s032-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/4E3_1_58_thomas-18-s032-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,4E3_1_58_thomas-18-s032-a04.raw,2019-02-11T16:02:03Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4E3_1_58_thomas-18-s032-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4E3_1_58_thomas-18-s032-a04.raw&forceDownload=true,nmdc:procsm-11-qd2z5428,nmdc:manif-12-y3xvdp79,NMDC,JGI
4B8_3_35_pinto-63-s004-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/4B8_3_35_pinto-63-s004-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/4B8_3_35_pinto-63-s004-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,4B8_3_35_pinto-63-s004-a04.raw,2019-02-12T04:42:35Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4B8_3_35_pinto-63-s004-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4B8_3_35_pinto-63-s004-a04.raw&forceDownload=true,nmdc:procsm-11-wsk4df65,nmdc:manif-12-y3xvdp79,NMDC,JGI
7C11_8_30_song-51-s015-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/7C11_8_30_song-51-s015-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/7C11_8_30_song-51-s015-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,7C11_8_30_song-51-s015-a04.raw,2019-02-05T06:19:44Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE7/7C11_8_30_song-51-s015-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE7%2F7C11_8_30_song-51-s015-a04.raw&forceDownload=true,nmdc:procsm-11-1h53zg50,nmdc:manif-12-y3xvdp79,NMDC,JGI
2B2_3_49_jensen-43-s014-a03.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/2B2_3_49_jensen-43-s014-a03.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/2B2_3_49_jensen-43-s014-a03.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,2B2_3_49_jensen-43-s014-a03.raw,2019-02-07T04:46:41Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE1and2/2B2_3_49_jensen-43-s014-a03.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE1and2%2F2B2_3_49_jensen-43-s014-a03.raw&forceDownload=true,nmdc:procsm-11-q2ma4v68,nmdc:manif-12-y3xvdp79,NMDC,JGI
4D1_1_16_thomas-18-s031-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/4D1_1_16_thomas-18-s031-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/4D1_1_16_thomas-18-s031-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,4D1_1_16_thomas-18-s031-a04.raw,2019-02-11T12:07:51Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4D1_1_16_thomas-18-s031-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4D1_1_16_thomas-18-s031-a04.raw&forceDownload=true,nmdc:procsm-11-19ksr434,nmdc:manif-12-y3xvdp79,NMDC,JGI
4B3_2_65_pinto-63-s017-a03.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/4B3_2_65_pinto-63-s017-a03.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/4B3_2_65_pinto-63-s017-a03.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,4B3_2_65_pinto-63-s017-a03.raw,2019-02-12T03:05:04Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4B3_2_65_pinto-63-s017-a03.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4B3_2_65_pinto-63-s017-a03.raw&forceDownload=true,nmdc:procsm-11-z2sfx361,nmdc:manif-12-y3xvdp79,NMDC,JGI
4D4_1_24_thomas-18-s033-a03.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/4D4_1_24_thomas-18-s033-a03.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/4D4_1_24_thomas-18-s033-a03.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,4D4_1_24_thomas-18-s033-a03.raw,2019-02-11T12:48:02Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4D4_1_24_thomas-18-s033-a03.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4D4_1_24_thomas-18-s033-a03.raw&forceDownload=true,nmdc:procsm-11-am6vwq72,nmdc:manif-12-y3xvdp79,NMDC,JGI
5C10_3_57_sandin-54-s002-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/5C10_3_57_sandin-54-s002-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/5C10_3_57_sandin-54-s002-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,5C10_3_57_sandin-54-s002-a04.raw,2019-02-03T22:08:19Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE5/5C10_3_57_sandin-54-s002-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE5%2F5C10_3_57_sandin-54-s002-a04.raw&forceDownload=true,nmdc:procsm-11-ya31me76,nmdc:manif-12-y3xvdp79,NMDC,JGI
7D7_8_37_song-51-s018-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/7D7_8_37_song-51-s018-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/7D7_8_37_song-51-s018-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,7D7_8_37_song-51-s018-a04.raw,2019-02-05T08:50:44Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE7/7D7_8_37_song-51-s018-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE7%2F7D7_8_37_song-51-s018-a04.raw&forceDownload=true,nmdc:procsm-11-rj0bhm33,nmdc:manif-12-y3xvdp79,NMDC,JGI
4E11_1_75_thomas-18-s039-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/4E11_1_75_thomas-18-s039-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/4E11_1_75_thomas-18-s039-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,4E11_1_75_thomas-18-s039-a04.raw,2019-02-11T18:19:55Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4E11_1_75_thomas-18-s039-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4E11_1_75_thomas-18-s039-a04.raw&forceDownload=true,nmdc:procsm-11-hg16v864,nmdc:manif-12-y3xvdp79,NMDC,JGI
4D12_1_51_thomas-18-s051-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/4D12_1_51_thomas-18-s051-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/4D12_1_51_thomas-18-s051-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,4D12_1_51_thomas-18-s051-a04.raw,2019-02-11T15:21:48Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4D12_1_51_thomas-18-s051-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4D12_1_51_thomas-18-s051-a04.raw&forceDownload=true,nmdc:procsm-11-nwkrn856,nmdc:manif-12-y3xvdp79,NMDC,JGI
5B6_3_4_sandin-54-s010-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/5B6_3_4_sandin-54-s010-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/5B6_3_4_sandin-54-s010-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,5B6_3_4_sandin-54-s010-a04.raw,2019-02-03T20:20:59Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE5/5B6_3_4_sandin-54-s010-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE5%2F5B6_3_4_sandin-54-s010-a04.raw&forceDownload=true,nmdc:procsm-11-0hqjcp04,nmdc:manif-12-y3xvdp79,NMDC,JGI
4C5_3_71_pinto-63-s014-a04.raw,['nmdc:sty-11-547rwq94'],unknown,/Volumes/LaCie/nmdc_data/_emp500/raw/4C5_3_71_pinto-63-s014-a04.raw,/Volumes/LaCie/nmdc_data/_emp500/processed_20251021/4C5_3_71_pinto-63-s014-a04.corems,LC-MS Metabolomics Method for EMP 500 Samples,LC-MS Chromatography Configuration for EMP 500 Samples,EMSL-RZR,Thermo Orbitrap Q-Exactive,4C5_3_71_pinto-63-s014-a04.raw,2019-02-12T06:30:01Z,ftp://massive-ftp.ucsd.edu/v02/MSV000083475/raw/RAW/PLATE3and4/4C5_3_71_pinto-63-s014-a04.raw,https://massive.ucsd.edu/ProteoSAFe/DownloadResultFile?file=f.MSV000083475%2Fraw%2FRAW%2FPLATE3and4%2F4C5_3_71_pinto-63-s014-a04.raw&forceDownload=true,nmdc:procsm-11-wqwx3g16,nmdc:manif-12-y3xvdp79,NMDC,JGI
