biosample_id,associated_study,material_processing_type,raw_data_file,processed_data_file,calibration_file,mass_spec_configuration_name,chromat_configuration_name,instrument_used,processing_institution,instrument_analysis_start_date,instrument_analysis_end_date,execution_resource,dms_name
nmdc:bsm-11-127y7152,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_H_2_AB_O_15.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_H_2_AB_O_15.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/15/18 23:47,1/16/18 0:24,EMSL-RZR,Blanch_Nat_Met_H_2_AB_O_15
nmdc:bsm-11-7qaw2x10,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_C_4_AB_O_04.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_C_4_AB_O_04.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 1:12,1/16/18 1:49,EMSL-RZR,Blanch_Nat_Met_C_4_AB_O_04
nmdc:bsm-11-k4wb6c34,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_H_32_AB_O_19.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_H_32_AB_O_19.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 1:55,1/16/18 2:32,EMSL-RZR,Blanch_Nat_Met_H_32_AB_O_19
nmdc:bsm-11-4rx1wt74,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_C_14_AB_O_09.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_C_14_AB_O_09.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 2:38,1/16/18 3:15,EMSL-RZR,Blanch_Nat_Met_C_14_AB_O_09
nmdc:bsm-11-nq2tfm26,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_H_4_AB_M_05.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_H_4_AB_M_05.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 3:21,1/16/18 3:58,EMSL-RZR,Blanch_Nat_Met_H_4_AB_M_05
nmdc:bsm-11-xxvfda22,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_H_2_AB_M_23.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_H_2_AB_M_23.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 4:03,1/16/18 4:40,EMSL-RZR,Blanch_Nat_Met_H_2_AB_M_23
nmdc:bsm-11-gk0czc37,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_H_26_AB_M_12.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_H_26_AB_M_12.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 5:29,1/16/18 6:06,EMSL-RZR,Blanch_Nat_Met_H_26_AB_M_12
nmdc:bsm-11-pwa2h444,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_C_12_AB_O_25.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_C_12_AB_O_25.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 6:11,1/16/18 6:48,EMSL-RZR,Blanch_Nat_Met_C_12_AB_O_25
nmdc:bsm-11-m7z9y338,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_C_27_AB_O_21.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_C_27_AB_O_21.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 8:19,1/16/18 8:56,EMSL-RZR,Blanch_Nat_Met_C_27_AB_O_21
nmdc:bsm-11-93mc8g67,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_C_19_AB_M_16.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_C_19_AB_M_16.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 9:02,1/16/18 9:39,EMSL-RZR,Blanch_Nat_Met_C_19_AB_M_16
nmdc:bsm-11-frgt4x11,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_C_14_AB_M_27.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_C_14_AB_M_27.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 9:44,1/16/18 10:21,EMSL-RZR,Blanch_Nat_Met_C_14_AB_M_27
nmdc:bsm-11-cpekyy11,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_C_30_AB_M_14.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_C_30_AB_M_14.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 10:27,1/16/18 11:04,EMSL-RZR,Blanch_Nat_Met_C_30_AB_M_14
