description,gold_biosample_identifiers,id,insdc_biosample_identifiers,name,samp_name
"Fecal microbial communities from giant otter in Atlanta Zoo, Georgia, USA",['gold:Gb0315953'],nmdc:bsm-11-22fyr510,['biosample:SAMEA7723684'],"Fecal microbial communities from giant otter in Atlanta Zoo, Georgia, USA - 13114.song.75.s001",13114.song.75.s001
"Fish gut microbial communities from Scripps Coastal Reserve, CA, USA",['gold:Gb0315654'],nmdc:bsm-11-24619e70,['biosample:SAMEA7723968'],"Fish gut microbial communities from Scripps Coastal Reserve, CA, USA - 13114.sandin.54.s009",13114.sandin.54.s009
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315836'],nmdc:bsm-11-26rxcm44,['biosample:SAMEA7723724'],"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s047",13114.thomas.18.s047
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316019'],nmdc:bsm-11-28v9fb45,['biosample:SAMEA7724172'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s073",13114.mousseau.88.s073
"Arctic glacier soil microbial communities from Luigi island, Arctic Ocean",['gold:Gb0239932'],nmdc:bsm-11-29kct608,['biosample:SAMEA7723949'],"Arctic glacier soil microbial communities from Luigi island, Arctic Ocean - Rohwer84.arctic.glacier.soil.FJLL2",Rohwer84.arctic.glacier.soil.FJLL2
"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA",['gold:Gb0240034'],nmdc:bsm-11-2ah5z651,['biosample:SAMEA7724320'],"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA - Stegen36.permafrost.t15.100m",
"Seawater microbial communities from North Pacific Ocean, Mexico",['gold:Gb0297435'],nmdc:bsm-11-2b388f02,['biosample:SAMEA7724003'],"Seawater microbial communities from North Pacific Ocean, Mexico - 13114.stewart.26.s006",13114.stewart.26.s006
"Sterile water microbial communities from research facility in San Diego, CA, USA",['gold:Gb0315563'],nmdc:bsm-11-2bn4zt60,['biosample:SAMEA7724354'],"Sterile water microbial communities from research facility in San Diego, CA, USA - 13114.BLANK1.1A",13114.BLANK1.1A
"Lake sediment microbial communities from Norfolk County, Massachusetts, USA",['gold:Gb0315751'],nmdc:bsm-11-2c8r9c97,['biosample:SAMEA7723398'],"Lake sediment microbial communities from Norfolk County, Massachusetts, USA - 13114.berry.2.s019",13114.berry.2.s019
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315810'],nmdc:bsm-11-2da77e23,['biosample:SAMEA7723698'],"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s015",13114.thomas.18.s015
"Lake sediment microbial communities from Deaf Smith County, Texas, USA",['gold:Gb0315763'],nmdc:bsm-11-2drasm02,['biosample:SAMEA7723611'],"Lake sediment microbial communities from Deaf Smith County, Texas, USA - 13114.mayer.33.s001",13114.mayer.33.s001
"Stony coral microbial communities from Gulf of Panama, Saboga, Panama",['gold:Gb0297380'],nmdc:bsm-11-2ggfq219,['biosample:SAMEA7723743'],"Stony coral microbial communities from Gulf of Panama, Saboga, Panama - 13114.zaneveld.9.s012",13114.zaneveld.9.s012
"Oil palm plantation surface soil microbial communities from West Coast Park, Singapore",['gold:Gb0240019'],nmdc:bsm-11-2hv7wn93,['biosample:SAMEA7724292'],"Oil palm plantation surface soil microbial communities from West Coast Park, Singapore - Seedorf71.P2soil.4",
"Activated sludge microbial communities from Salt Lake City, Utah, USA",['gold:Gb0315428'],nmdc:bsm-11-2jt0tm89,['biosample:SAMEA7724131'],"Activated sludge microbial communities from Salt Lake City, Utah, USA - 13114.mcmahon.21.s006",13114.mcmahon.21.s006
"Sterile water microbial communities from research facility in San Diego, CA, USA",['gold:Gb0315567'],nmdc:bsm-11-2nxsp762,['biosample:SAMEA7724358'],"Sterile water microbial communities from research facility in San Diego, CA, USA - 13114.BLANK2.2A",13114.BLANK2.2A
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315813'],nmdc:bsm-11-2q6szk18,['biosample:SAMEA7723701'],"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s021",13114.thomas.18.s021
"Lake sediment microbial communities from Deaf Smith County, Texas, USA",['gold:Gb0315752'],nmdc:bsm-11-2rtk4045,['biosample:SAMEA7723437'],"Lake sediment microbial communities from Deaf Smith County, Texas, USA - 13114.mayer.33.s002",13114.mayer.33.s002
"Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA",['gold:Gb0239924'],nmdc:bsm-11-30npyx54,['biosample:SAMEA7724303'],"Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA - Shade23.Cen16.12102015",
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316035'],nmdc:bsm-11-30syvs50,['biosample:SAMEA7724188'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s102",13114.mousseau.88.s102
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316033'],nmdc:bsm-11-31jggw59,['biosample:SAMEA7724186'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s100",13114.mousseau.88.s100
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297480'],nmdc:bsm-11-32x2fy83,['biosample:SAMEA7724378'],"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s056",13114.thomas.19.s056
"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA",['gold:Gb0240123'],nmdc:bsm-11-3396fd37,['biosample:SAMEA7723432'],"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA - King27.Forest.2.8.10",King27.Forest.2.8.10
"Marine salt marsh soil microbial communities from Province of Huelva, Spain",['gold:Gb0239976'],nmdc:bsm-11-33b3p871,['biosample:SAMEA7724245'],"Marine salt marsh soil microbial communities from Province of Huelva, Spain - RoyChowdhury45.soil.12.SO1.9s",RoyChowdhury45.soil.12.SO1.9s
"Pitcher plant fluid microbial communities from Harvard Forest, Massachusetts, USA",['gold:Gb0315738'],nmdc:bsm-11-34rmp353,['biosample:SAMEA7723869'],"Pitcher plant fluid microbial communities from Harvard Forest, Massachusetts, USA - 13114.bittleston.68.s013",13114.bittleston.68.s013
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297441'],nmdc:bsm-11-35m1xy10,['biosample:SAMEA7724018'],"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s003",13114.thomas.19.s003
"Terrestrial rangeland soil microbial communities from Oregon, Union County, USA",['gold:Gb0240101'],nmdc:bsm-11-39qcw250,['biosample:SAMEA7724211'],"Terrestrial rangeland soil microbial communities from Oregon, Union County, USA - Myrold59.soil.5.NRCS0096",
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297479'],nmdc:bsm-11-3a2a8m21,['biosample:SAMEA7724377'],"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s055",13114.thomas.19.s055
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315815'],nmdc:bsm-11-3a8h4b10,['biosample:SAMEA7723703'],"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s024",13114.thomas.18.s024
"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean",['gold:Gb0297375'],nmdc:bsm-11-3abqrc90,['biosample:SAMEA7723682'],"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean - 13114.rohwer.85.s007",13114.rohwer.85.s007
Grasslands and shrubland soil microbial communities from Mongolia,['gold:Gb0239958'],nmdc:bsm-11-3b5xj746,['biosample:SAMEA7724112'],Grasslands and shrubland soil microbial communities from Mongolia - MacRae3.soil.6,MacRae3.soil.6
"Stony coral microbial communities from Gulf of Panama, Saboga, Panama",['gold:Gb0297360'],nmdc:bsm-11-3c3w4c53,['biosample:SAMEA7723554'],"Stony coral microbial communities from Gulf of Panama, Saboga, Panama - 13114.zaneveld.9.s005",13114.zaneveld.9.s005
"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA",['gold:Gb0240117'],nmdc:bsm-11-3ekef286,['biosample:SAMEA7723430'],"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA - King27.Edge.2.1.8.10",King27.Edge.2.1.8.10
"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA",['gold:Gb0240041'],nmdc:bsm-11-3h3w1c57,['biosample:SAMEA7724337'],"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA - Stegen38.activelayer.soil.T5.52m",
"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA",['gold:Gb0240032'],nmdc:bsm-11-3kpex275,['biosample:SAMEA7724318'],"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA - Stegen36.permafrost.t15.84m",
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315852'],nmdc:bsm-11-3kpvrr32,['biosample:SAMEA7724013'],"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s018",13114.thomas.18.s018
"Temperate coniferous forest soil microbial communities from Oregon, Klamath County, USA",['gold:Gb0240056'],nmdc:bsm-11-3nhs7493,['biosample:SAMEA7724212'],"Temperate coniferous forest soil microbial communities from Oregon, Klamath County, USA - Myrold59.soil.6.NRCS0166",Myrold59.soil.6.NRCS0166
"Lichen microbial communities from Michigan, USA",['gold:Gb0315697'],nmdc:bsm-11-3sdqfq80,['biosample:SAMEA7724049'],"Lichen microbial communities from Michigan, USA - 13114.uren.82.s006",13114.uren.82.s006
Banana cropland soil microbial communities from Singapore,['gold:Gb0239936'],nmdc:bsm-11-407zcq77,['biosample:SAMEA7724284'],Banana cropland soil microbial communities from Singapore - Seedorf71.BP2soil.26,
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316032'],nmdc:bsm-11-41c0rb64,['biosample:SAMEA7724185'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s098",13114.mousseau.88.s098
"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA",['gold:Gb0240118'],nmdc:bsm-11-44hrnd69,['biosample:SAMEA7723431'],"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA - King27.Edge.2.2.8.10",King27.Edge.2.2.8.10
"Fish gut microbial communities from La Jolla Cove, CA, USA",['gold:Gb0315648'],nmdc:bsm-11-47n1jc77,['biosample:SAMEA7723503'],"Fish gut microbial communities from La Jolla Cove, CA, USA - 13114.sandin.54.s008",13114.sandin.54.s008
"Arctic glacier soil microbial communities from Hook Island, Arctic Ocean",['gold:Gb0239928'],nmdc:bsm-11-48fce216,['biosample:SAMEA7723945'],"Arctic glacier soil microbial communities from Hook Island, Arctic Ocean - Rohwer84.arctic.glacier.soil.FJLH2",Rohwer84.arctic.glacier.soil.FJLH2
"Sponge tissue microbial communities from Bare Island, Botany Bay, New South Wales, Australia",['gold:Gb0315849'],nmdc:bsm-11-48mv5084,['biosample:SAMEA7724010'],"Sponge tissue microbial communities from Bare Island, Botany Bay, New South Wales, Australia - 13114.thomas.18.s007",13114.thomas.18.s007
"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA",['gold:Gb0240040'],nmdc:bsm-11-48q3sx90,['biosample:SAMEA7724336'],"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA - Stegen38.activelayer.soil.T5.44m",
"Lake sediment microbial communities from Hampden County, Massachusetts, USA",['gold:Gb0315745'],nmdc:bsm-11-499zaf45,['biosample:SAMEA7723392'],"Lake sediment microbial communities from Hampden County, Massachusetts, USA - 13114.berry.2.s004",13114.berry.2.s004
"Fecal microbial communities from ostrich in Atlanta Zoo, Georgia, USA",['gold:Gb0315889'],nmdc:bsm-11-49rak140,['biosample:SAMEA7723531'],"Fecal microbial communities from ostrich in Atlanta Zoo, Georgia, USA - 13114.song.53.s004",13114.song.53.s004
"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA",['gold:Gb0240122'],nmdc:bsm-11-4b8h0j70,['biosample:SAMEA7723905'],"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA - King27.Forest.2.0.2",
"Temperate coniferous forest soil microbial communities from Oregon, Tillamook County, USA",['gold:Gb0240068'],nmdc:bsm-11-4c975136,['biosample:SAMEA7724195'],"Temperate coniferous forest soil microbial communities from Oregon, Tillamook County, USA - Myrold5.soil.1.CHDF1",Myrold5.soil.1.CHDF1
"Zompopas fungus garden microbial communities from Carara National Park, Costa Rica",['gold:Gb0315674'],nmdc:bsm-11-4ce6q586,['biosample:SAMEA7723468'],"Zompopas fungus garden microbial communities from Carara National Park, Costa Rica - 13114.pinto.63.s015",13114.pinto.63.s015
"Montane desert soil microbial communities from Mustang Region, Nepal",['gold:Gb0239995'],nmdc:bsm-11-4e8mpm31,['biosample:SAMEA7724263'],"Montane desert soil microbial communities from Mustang Region, Nepal - Schmidt56.soil.Nepal.7",Schmidt56.soil.Nepal.7
"Stingless bee garbage pellet microbial communities from Puerto Viejo, Costa Rica",['gold:Gb0315686'],nmdc:bsm-11-4ga0zr42,['biosample:SAMEA7723680'],"Stingless bee garbage pellet microbial communities from Puerto Viejo, Costa Rica - 13114.pinto.63.s025",13114.pinto.63.s025
"Seawater microbial communities from North East Pacific Ocean, California, USA",['gold:Gb0297403'],nmdc:bsm-11-4jxw8910,['biosample:SAMEA7723937'],"Seawater microbial communities from North East Pacific Ocean, California, USA - 13114.palenik.42.s012",13114.palenik.42.s012
"Marine salt marsh soil microbial communities from Province of Huelva, Spain",['gold:Gb0239974'],nmdc:bsm-11-4m7s4a41,['biosample:SAMEA7724243'],"Marine salt marsh soil microbial communities from Province of Huelva, Spain - RoyChowdhury45.soil.10.SO1.9",RoyChowdhury45.soil.10.SO1.9
"Montane desert soil microbial communities from Puca Glacier, Peru",['gold:Gb0240009'],nmdc:bsm-11-4p297711,['biosample:SAMEA7724277'],"Montane desert soil microbial communities from Puca Glacier, Peru - Schmidt56.soil.Peru.25.3",Schmidt56.soil.Peru.25.3
Desert gravel field soil microbial communities from Namibia,['gold:Gb0239944'],nmdc:bsm-11-4ps4sv81,['biosample:SAMEA7724122'],Desert gravel field soil microbial communities from Namibia - Makhalanyane46.TGP7,Makhalanyane46.TGP7
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0315996'],nmdc:bsm-11-4ptbp825,['biosample:SAMEA7724149'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s024",13114.mousseau.88.s024
"Fecal microbial communities from aldabra giant tortoise in Atlanta Zoo, Georgia, USA",['gold:Gb0315971'],nmdc:bsm-11-4qp1b648,['biosample:SAMEA7723986'],"Fecal microbial communities from aldabra giant tortoise in Atlanta Zoo, Georgia, USA - 13114.song.52.s002",13114.song.52.s002
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297453'],nmdc:bsm-11-4qv53941,['biosample:SAMEA7724036'],"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s021",13114.thomas.19.s021
"Fish gut microbial communities from Santa Catalina Island, CA, USA",['gold:Gb0315644'],nmdc:bsm-11-4r1qkv30,['biosample:SAMEA7723499'],"Fish gut microbial communities from Santa Catalina Island, CA, USA - 13114.sandin.54.s003",13114.sandin.54.s003
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316011'],nmdc:bsm-11-4s4cbb56,['biosample:SAMEA7724164'],"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s059",13114.mousseau.88.s059
"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA",['gold:Gb0297318'],nmdc:bsm-11-4tsrqa19,['biosample:SAMEA7723404'],"Salt marsh sediment microbial communities from Plum Island, Massachusetts, USA - 13114.bowen.74.s012",13114.bowen.74.s012
