biosample_id,raw_data_identifier,eluent_introduction_category,processedsample_placeholder,material_processing_protocol_id
nmdc:bsm-11-wwan3s29,5C10_3_57_sandin-54-s002-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-edap6131,4E11_1_75_thomas-18-s039-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-69qw4z81,4D12_1_51_thomas-18-s051-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-pvh31c44,5B6_3_4_sandin-54-s010-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-vtnvjb29,4C5_3_71_pinto-63-s014-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-vma72763,7B7_8_16_song-51-s009-a04.raw,liquid_chromatography,ProcessedSample8_bulk_feces,bulk_feces
nmdc:bsm-11-sbxbyj04,EMP_Feces_jensen_43_s005_a03_M_104.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-4r1qkv30,EMP_Feces_sandin_54_s003_a03_M_180.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-mtkz3j68,EMP_Feces_zaneveld_9_s013_a03_M_017.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-097t3b49,EMP_Feces_mayer_34_s002_a03_M_081.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-3c3w4c53,EMP_Feces_zaneveld_9_s005_a03_M_012.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-crdrx267,EMP_Feces_song_53_s015_a03_M_178.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-x5xj6p33,EMP_Feces_berry_2_s020_a03_M_002.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-dev30993,EMP_Feces_jensen_43_s010_a03_M_108.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-g9s8zb84,EMP_Feces_thomas_18_s042_a03_M_044.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-t4qhe818,EMP_Feces_song_52_s007_a03_M_155.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-6zvasb85,EMP_Feces_thomas_18_s009_a03_M_039.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-rmae3e55,EMP_Feces_rohwer_86_s002_a03_M_283.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-nm73we33,EMP_Feces_uren_82_s009_a03_M_301.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-vgbty846,EMP_Feces_thomas_18_s008_a03_M_038.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-fzefgn43,EMP_Feces_berry_2_s015_a03_M_004.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-6wvmnx13,EMP_Feces_sandin_54_s005_a03_M_182.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-fgv4qz58,EMP_Feces_distel_72_s006_a03_M_230.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-9h2thc88,EMP_Feces_tait_78_s001_a03_M_257.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-t0bnk181,EMP_Feces_uren_82_s010_a03_M_302.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-8e432w27,EMP_Feces_angenent_65_s006_a03_M_188.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-8qdykb22,EMP_Feces_thomas_18_s036_a03_M_033.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-9b7p0p97,EMP_Feces_pinto_63_s006_a03_M_333.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-e8es0f94,EMP_Feces_song_53_s013_a03_M_176.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-srm6gy44,EMP_Feces_girguis_50_s001_a03_M_117.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-ehp0qr45,EMP_Feces_bowen_74_s010_a03_M_245.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-bea5je06,EMP_Feces_thomas_18_s055_a03_M_043.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-13mnr371,EMP_Feces_bowen_74_s009_a03_M_244.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-69qw4z81,EMP_Feces_thomas_18_s051_a03_M_041.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-1b0wkq73,EMP_Feces_minich_76_s006_a03_M_266.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-ntz0x780,EMP_Feces_distel_72_s001_a03_M_225.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-ga9sv551,EMP_Feces_minich_76_s004_a03_M_264.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-eahc7244,EMP_Feces_mousseau_88_s014_a02_M_287.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-x6c26979,EMP_Feces_zaneveld_9_s001_a03_M_009.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-b74s9m33,EMP_Feces_distel_72_s002_a03_M_226.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-njq6vv19,EMP_Feces_distel_72_s007_a03_M_231.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-5trzvb02,EMP_Feces_minich_76_s003_a03_M_263.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-rdrbna95,EMP_Feces_jensen_43_s019_a03_M_116.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-6112pw75,EMP_Feces_song_52_s003_a03_M_151.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-dzcbm153,EMP_Feces_song_52_s012_a03_M_160.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-24619e70,EMP_Feces_sandin_54_s009_a03_M_316.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-mjktay23,EMP_Feces_mayer_34_s005_a03_M_084.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-dhjgvh69,EMP_Feces_jensen_43_s015_a03_M_112.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-r4ckxx10,EMP_Feces_smith_39_s007_a03_M_067.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-t85zt525,EMP_Feces_berry_2_s001_a03_M_258.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-6qn0yc72,EMP_Feces_bittleston_68_s010_a02_M_352.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-rhmm8j58,EMP_Feces_pinto_63_s023_a03_M_344.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-nq7pqz46,EMP_Feces_rohwer_85_s021_a03_M_278.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-499zaf45,EMP_Feces_berry_2_s004_a03_M_092.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-dd2wy976,EMP_Feces_sandin_54_s012_a03_M_319.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-xftvkt77,EMP_Feces_girguis_50_s008_a03_M_124.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-9nx0kw14,EMP_Feces_sandin_54_s015_a03_M_322.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-cecn0k17,EMP_Feces_rohwer_85_s001_a03_M_274.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-8qh0s869,EMP_Feces_mayer_34_s007_a03_M_086.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-v8m4je39,EMP_Feces_zaneveld_9_s010_a03_M_015.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-atd08q40,EMP_Feces_thomas_18_s019_a03_M_048.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-ttsrb848,EMP_Feces_mayer_34_s010_a03_M_089.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-34rmp353,EMP_Feces_bittleston_68_s013_a02_M_355.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-gxs86k63,EMP_Feces_bittleston_68_s008_a02_M_350.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-r0yk4534,EMP_Feces_song_53_s008_a03_M_171.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-kf7n8903,EMP_Feces_mousseau_88_s031_a02_M_296.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-ya3kyk65,EMP_Feces_mousseau_88_s075_a02_M_298.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-jrekbs07,EMP_Feces_mousseau_88_s003_a02_M_294.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-w3j3fr59,EMP_Feces_girguis_50_s011_a03_M_127.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-6pvvym90,EMP_Feces_smith_39_s001_a03_M_061.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-cckmzv18,EMP_Feces_smith_39_s004_a03_M_064.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-4ga0zr42,EMP_Feces_pinto_63_s025_a03_M_346.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-hx5a6080,EMP_Feces_thomas_18_s031_a03_M_030.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-awbfcx71,EMP_Feces_pinto_63_s002_a03_M_334.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-7nn7sq09,EMP_Feces_bittleston_68_s003_a02_M_192.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-ebqw6x04,EMP_Feces_song_51_s001_a03_M_129.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-61qmpx90,EMP_Feces_sandin_54_s011_a03_M_318.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-n7ccva60,EMP_Feces_berry_2_s006_a03_M_094.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-q58wrs65,EMP_Feces_rohwer_85_s023_a03_M_280.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-q3xxkf31,EMP_Feces_berry_2_s013_a03_M_259.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-ptk2m290,EMP_Feces_mayer_33_s007_a03_M_079.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-fyvfzv81,EMP_Feces_mousseau_88_s022_a02_M_290.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-df188806,EMP_Feces_bowen_74_s007_a03_M_242.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-10czxf79,EMP_Feces_bowen_74_s011_a03_M_246.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-zqs8cv49,EMP_Feces_zaneveld_9_s014_a03_M_018.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-td766z18,EMP_Feces_zaneveld_9_s020_a03_M_024.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-1026rp71,EMP_Feces_berry_2_s012_a03_M_095.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-d088ph59,EMP_Feces_pinto_63_s009_a03_M_336.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-9dbj1f74,EMP_Feces_bowen_74_s008_a03_M_243.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-yzra3r06,EMP_Feces_thomas_18_s013_a03_M_036.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-nt5fgp68,EMP_Feces_song_51_s002_a03_M_130.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-b9v3jc83,EMP_Feces_girguis_50_s006_a03_M_122.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-q56mee15,EMP_Feces_mousseau_88_s072_a02_M_297.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-k0trwf39,EMP_Feces_distel_72_s003_a03_M_227.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-wdhwaj56,EMP_Feces_mousseau_88_s029_a02_M_293.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-aah1r855,EMP_Feces_girguis_50_s005_a03_M_121.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-ajqc6593,EMP_Feces_song_51_s014_a03_M_142.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-sss2dq89,EMP_Feces_smith_39_s005_a03_M_065.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-x4pvsy53,EMP_Feces_zaneveld_9_s008_a03_M_014.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-8wend016,EMP_Feces_jensen_43_s013_a03_M_111.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-96fvcn18,EMP_Feces_zaneveld_9_s017_a03_M_021.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-mre5pt64,EMP_Feces_tait_78_s003_a03_M_256.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-bam1pb18,EMP_Feces_jensen_43_s003_a03_M_102.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-hj6hv286,EMP_Feces_mousseau_88_s026_a02_M_291.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-q4ehgd83,EMP_Feces_minich_76_s005_a03_M_265.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-5p41f286,EMP_Feces_thomas_18_s029_a03_M_028.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-7tmmrd19,EMP_Feces_bowen_74_s004_a03_M_239.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-81chfb41,EMP_Feces_mayer_33_s006_a03_M_078.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-cap69m58,EMP_Feces_song_51_s013_a03_M_141.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-5phfn375,EMP_Feces_mousseau_88_s020_a02_M_289.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-9484e072,EMP_Feces_bittleston_68_s012_a02_M_354.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-jztbkk08,EMP_Feces_pinto_63_s004_a03_M_335.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-0g4d7n95,EMP_Feces_girguis_50_s007_a03_M_123.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-pnk53a41,EMP_Feces_angenent_65_s002_a03_M_186.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-pvh31c44,EMP_Feces_sandin_54_s010_a03_M_317.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-rfj9pv09,EMP_Feces_rohwer_85_s002_a03_M_275.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-66c77129,EMP_Feces_song_51_s007_a03_M_135.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-dn2br573,EMP_Feces_thomas_18_s038_a03_M_034.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-k47vb326,EMP_Feces_pinto_63_s021_a03_M_342.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-fr3qg864,EMP_Feces_smith_39_s006_a03_M_066.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-f0f6m531,EMP_Feces_rohwer_85_s004_a03_M_277.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-eptzcj06,EMP_Feces_sandin_54_s001_a03_M_260.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-ghy6hd29,EMP_Feces_sandin_54_s007_a03_M_184.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-sd922469,EMP_Feces_thomas_18_s023_a03_M_049.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-c7pw9t22,EMP_Feces_mousseau_88_s027_a02_M_292.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-zse98013,EMP_Feces_pinto_63_s001_a03_M_329.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-1bgy6m27,EMP_Feces_zaneveld_9_s018_a03_M_022.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-ve9fby22,EMP_Feces_song_52_s005_a03_M_153.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-dg5nfe27,EMP_Feces_bowen_74_s016_a03_M_251.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-8pwwr630,EMP_Feces_song_51_s010_a03_M_138.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-ne6r3m37,EMP_Feces_song_51_s020_a03_M_148.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-8ym8ej29,EMP_Feces_distel_72_s008_a03_M_232.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-d3e8jh34,EMP_Feces_minich_76_s002_a03_M_262.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-cmesvc96,EMP_Feces_thomas_18_s035_a03_M_032.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-6qp0cj90,EMP_Feces_bittleston_68_s011_a02_M_353.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-fsxwxn32,EMP_Feces_zaneveld_9_s015_a03_M_019.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-y88j4g31,EMP_Feces_mousseau_88_s076_a02_M_299.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-91tmwd33,EMP_Feces_song_53_s007_a03_M_170.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-w4des787,EMP_Feces_uren_82_s005_a03_M_312.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-g2ytg589,EMP_Feces_mousseau_88_s079_a02_M_307.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-j5nvnf53,EMP_Feces_angenent_65_s007_a03_M_189.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-cpx7e317,EMP_Feces_berry_2_s003_a03_M_091.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-wjyntz33,EMP_Feces_smith_39_s002_a03_M_062.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-0z4fw943,EMP_Feces_jensen_43_s012_a03_M_110.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-wwan3s29,EMP_Feces_sandin_54_s002_a03_M_179.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-z746c966,EMP_Feces_mousseau_88_s078_a02_M_306.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-s94fz037,EMP_Feces_metcalf_81_s003_a03_M_269.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-fbv91t10,EMP_Feces_zaneveld_9_s019_a03_M_023.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-0t4hha86,EMP_Feces_mousseau_88_s001_a02_M_285.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-3sdqfq80,EMP_Feces_uren_82_s006_a03_M_313.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-eamp6s68,EMP_Feces_mousseau_88_s008_a02_M_295.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-na464h17,EMP_Feces_girguis_50_s004_a03_M_120.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-cnwpfb50,EMP_Feces_thomas_18_s001_a03_M_025.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-jsba4j38,EMP_Feces_uren_82_s004_a03_M_311.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-8zevcq84,EMP_Feces_thomas_18_s043_a03_M_045.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-mdjzwf88,EMP_Feces_berry_2_s009_a03_M_097.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-8c18wc38,EMP_Feces_minich_76_s001_a03_M_261.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-782xf659,EMP_Feces_distel_72_s011_a03_M_234.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-4qp1b648,EMP_Feces_song_52_s002_a03_M_150.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-edpm4s56,EMP_Feces_thomas_18_s028_a03_M_029.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-r0h58d28,EMP_Feces_jensen_43_s006_a03_M_105.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
nmdc:bsm-11-edap6131,EMP_Feces_thomas_18_s039_a03_M_035.cdf,gas_chromatography,ProcessedSample5_bulk_feces,bulk_feces
