analysis_type,associated_studies,id,name,samp_name
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-egyk7286'],nmdc:bsm-11-sa7v8d18,60940_2_TOP,60940_2_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-egyk7286'],nmdc:bsm-11-hg28nc67,60940_2_BTM,60940_2_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-egyk7286'],nmdc:bsm-11-3vy6w985,60940_3_TOP,60940_3_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-egyk7286'],nmdc:bsm-11-pvmt8d73,60940_3_BTM,60940_3_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-egyk7286'],nmdc:bsm-11-qvs0ps77,60940_4_TOP,60940_4_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-egyk7286'],nmdc:bsm-11-18pxzb37,60940_4_BTM,60940_4_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-egyk7286'],nmdc:bsm-11-5abm0018,60940_5_TOP,60940_5_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-egyk7286'],nmdc:bsm-11-axzs3658,60940_5_BTM,60940_5_BTM
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-egyk7286'],nmdc:bsm-11-mcg8py84,60940_6_TOP,60940_6_TOP
"['metagenomics', 'natural organic matter', 'metabolomics']",['nmdc:sty-11-egyk7286'],nmdc:bsm-11-4fq1e655,60940_6_BTM,60940_6_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t27nge78'],nmdc:bsm-11-hzqjez23,61078_1_TOP,61078_1_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t27nge78'],nmdc:bsm-11-rxdem987,61078_3_TOP,61078_3_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t27nge78'],nmdc:bsm-11-73z69021,61078_5_BTM,61078_5_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t27nge78'],nmdc:bsm-11-t80jky33,61078_6_TOP,61078_6_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t27nge78'],nmdc:bsm-11-cq2z5958,61078_8_TOP,61078_8_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t27nge78'],nmdc:bsm-11-qhwenp02,61078_9_TOP,61078_9_TOP
"['metagenomics', 'bulk chemistry', 'natural organic matter']",['nmdc:sty-11-t27nge78'],nmdc:bsm-11-nc8q3p46,61078_6_BTM,61078_6_BTM
"['natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t27nge78'],nmdc:bsm-11-rsqk7d58,61078_1_BTM,61078_1_BTM
"['natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t27nge78'],nmdc:bsm-11-d4d0hz51,61078_2_BTM,61078_2_BTM
"['natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t27nge78'],nmdc:bsm-11-n3zhgr04,61078_2_TOP,61078_2_TOP
"['natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t27nge78'],nmdc:bsm-11-wc6txr96,61078_3_BTM,61078_3_BTM
"['natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t27nge78'],nmdc:bsm-11-4japjj36,61078_4_BTM,61078_4_BTM
"['natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t27nge78'],nmdc:bsm-11-ee1p3109,61078_4_TOP,61078_4_TOP
"['natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t27nge78'],nmdc:bsm-11-tt8pf064,61078_5_TOP,61078_5_TOP
"['natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t27nge78'],nmdc:bsm-11-nxf90121,61078_7_BTM,61078_7_BTM
"['natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t27nge78'],nmdc:bsm-11-5y9n7r02,61078_7_TOP,61078_7_TOP
"['natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t27nge78'],nmdc:bsm-11-gzmd1745,61078_8_BTM,61078_8_BTM
"['natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t27nge78'],nmdc:bsm-11-aaj82q72,61078_9_BTM,61078_9_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t9n4y608'],nmdc:bsm-11-qkkaxy15,61079_1_TOP,61079_1_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t9n4y608'],nmdc:bsm-11-n81em990,61079_1_BTM,61079_1_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t9n4y608'],nmdc:bsm-11-9vmajz21,61079_2_TOP,61079_2_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t9n4y608'],nmdc:bsm-11-9aq8n424,61079_2_BTM,61079_2_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t9n4y608'],nmdc:bsm-11-2egjr546,61079_3_TOP,61079_3_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t9n4y608'],nmdc:bsm-11-7af7md05,61079_4_TOP,61079_4_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t9n4y608'],nmdc:bsm-11-c91vjq02,61079_4_BTM,61079_4_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t9n4y608'],nmdc:bsm-11-rbr66d44,61079_5_TOP,61079_5_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t9n4y608'],nmdc:bsm-11-kgpz8j21,61079_5_BTM,61079_5_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t9n4y608'],nmdc:bsm-11-v8m92031,61079_6_TOP,61079_6_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t9n4y608'],nmdc:bsm-11-wf3qvn82,61079_7_TOP,61079_7_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t9n4y608'],nmdc:bsm-11-wm324524,61079_7_BTM,61079_7_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t9n4y608'],nmdc:bsm-11-aqam1634,61079_8_TOP,61079_8_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-t9n4y608'],nmdc:bsm-11-g9pp1v98,61079_9_TOP,61079_9_TOP
"['metagenomics', 'bulk chemistry', 'natural organic matter']",['nmdc:sty-11-t9n4y608'],nmdc:bsm-11-6q7ayz64,61079_3_BTM,61079_3_BTM
"['metagenomics', 'bulk chemistry', 'natural organic matter']",['nmdc:sty-11-t9n4y608'],nmdc:bsm-11-6k45wx12,61079_8_BTM,61079_8_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-xj0vbd08'],nmdc:bsm-11-h247bg82,61086_1_TOP,61086_1_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-xj0vbd08'],nmdc:bsm-11-8j13af34,61086_1_BTM,61086_1_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-xj0vbd08'],nmdc:bsm-11-9p537y39,61086_2_TOP,61086_2_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-xj0vbd08'],nmdc:bsm-11-dawknv19,61086_3_TOP,61086_3_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-xj0vbd08'],nmdc:bsm-11-78v0tt44,61086_4_TOP,61086_4_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-xj0vbd08'],nmdc:bsm-11-zfdf4s58,61086_4_BTM,61086_4_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-xj0vbd08'],nmdc:bsm-11-e72pdx18,61086_5_TOP,61086_5_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-xj0vbd08'],nmdc:bsm-11-3tw5bt89,61086_5_BTM,61086_5_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-xj0vbd08'],nmdc:bsm-11-nd03zk60,61086_6_TOP,61086_6_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-xj0vbd08'],nmdc:bsm-11-n3pjs407,61086_6_BTM,61086_6_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-xj0vbd08'],nmdc:bsm-11-tmg53533,61086_3_BTM,61086_3_BTM
"['natural organic matter', 'bulk chemistry']",['nmdc:sty-11-xj0vbd08'],nmdc:bsm-11-83p67x34,61086_2_BTM,61086_2_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-gsmy7433'],nmdc:bsm-11-tv0szq45,61090_4_BTM,61090_4_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-gsmy7433'],nmdc:bsm-11-sag0xz92,61090_5_TOP,61090_5_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-gsmy7433'],nmdc:bsm-11-00ycj277,61090_1_TOP,61090_1_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-gsmy7433'],nmdc:bsm-11-8jxymp71,61090_1_BTM,61090_1_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-gsmy7433'],nmdc:bsm-11-64ac2115,61090_2_TOP,61090_2_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-gsmy7433'],nmdc:bsm-11-rq975x68,61090_2_BTM,61090_2_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-gsmy7433'],nmdc:bsm-11-8ape3053,61090_3_TOP,61090_3_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-gsmy7433'],nmdc:bsm-11-qz7x8j65,61090_3_BTM,61090_3_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-gsmy7433'],nmdc:bsm-11-tmr4t568,61090_5_BTM,61090_5_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-gsmy7433'],nmdc:bsm-11-m0268z45,61090_4_TOP,61090_4_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-frejx632'],nmdc:bsm-11-xtq7yz43,61104_1_TOP,61104_1_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-frejx632'],nmdc:bsm-11-358bn152,61104_1_BTM,61104_1_BTM
"['metagenomics', 'bulk chemistry', 'natural organic matter']",['nmdc:sty-11-frejx632'],nmdc:bsm-11-zq9mq049,61104_2_TOP,61104_2_TOP
"['metagenomics', 'bulk chemistry', 'natural organic matter']",['nmdc:sty-11-frejx632'],nmdc:bsm-11-7dxrcy28,61104_2_BTM,61104_2_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-sar92g54'],nmdc:bsm-11-6w9vg220,61111_1_TOP,61111_1_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-sar92g54'],nmdc:bsm-11-vt9v0075,61111_1_BTM,61111_1_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-sar92g54'],nmdc:bsm-11-f787yk12,61111_5_TOP,61111_5_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-sar92g54'],nmdc:bsm-11-698m9v02,61111_6_TOP,61111_6_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-sar92g54'],nmdc:bsm-11-pvqfbp53,61111_7_TOP,61111_7_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-sar92g54'],nmdc:bsm-11-544jmf47,61111_8_TOP,61111_8_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-sar92g54'],nmdc:bsm-11-cm1xg032,61111_8_BTM,61111_8_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-sar92g54'],nmdc:bsm-11-4v67ay07,61111_2_TOP,61111_2_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-sar92g54'],nmdc:bsm-11-42kspw07,61111_4_TOP,61111_4_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-sar92g54'],nmdc:bsm-11-zvpk0r67,61111_2_BTM,61111_2_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-sar92g54'],nmdc:bsm-11-p9r6a790,61111_3_TOP,61111_3_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-sar92g54'],nmdc:bsm-11-0db1nz30,61111_3_BTM,61111_3_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-sar92g54'],nmdc:bsm-11-rc647873,61111_4_BTM,61111_4_BTM
"['natural organic matter', 'bulk chemistry']",['nmdc:sty-11-sar92g54'],nmdc:bsm-11-wyrbkc96,61111_7_BTM,61111_7_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-89dk7p71'],nmdc:bsm-11-f4b3m923,61115_2_BTM,61115_2_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-89dk7p71'],nmdc:bsm-11-c9z9ew57,61115_5_TOP,61115_5_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-89dk7p71'],nmdc:bsm-11-qewsn280,61115_5_BTM,61115_5_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-89dk7p71'],nmdc:bsm-11-dvb7jv57,61115_6_BTM,61115_6_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-89dk7p71'],nmdc:bsm-11-myaw7b21,61115_1_TOP,61115_1_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-89dk7p71'],nmdc:bsm-11-nny87q11,61115_1_BTM,61115_1_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-89dk7p71'],nmdc:bsm-11-rynm5608,61115_4_TOP,61115_4_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-89dk7p71'],nmdc:bsm-11-064k3b08,61115_6_TOP,61115_6_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-89dk7p71'],nmdc:bsm-11-betw6d45,61115_2_TOP,61115_2_TOP
"['natural organic matter', 'bulk chemistry']",['nmdc:sty-11-89dk7p71'],nmdc:bsm-11-b3dv2611,61115_3_BTM,61115_3_BTM
"['natural organic matter', 'bulk chemistry']",['nmdc:sty-11-89dk7p71'],nmdc:bsm-11-q93ssx04,61115_3_TOP,61115_3_TOP
"['natural organic matter', 'bulk chemistry']",['nmdc:sty-11-89dk7p71'],nmdc:bsm-11-bqj6cj96,61115_4_BTM,61115_4_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-h2tz6141'],nmdc:bsm-11-04hpzd88,61251_2_TOP,61251_2_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-h2tz6141'],nmdc:bsm-11-xrk1cz41,61251_4_TOP,61251_4_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-h2tz6141'],nmdc:bsm-11-x6hb6k25,61251_4_BTM,61251_4_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-h2tz6141'],nmdc:bsm-11-82rav492,61251_5_TOP,61251_5_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-h2tz6141'],nmdc:bsm-11-rd619373,61251_7_BTM,61251_7_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-h2tz6141'],nmdc:bsm-11-g60vke54,61251_5_BTM,61251_5_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-prs2ev78'],nmdc:bsm-11-18c6rm85,61255_4_TOP,61255_4_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-prs2ev78'],nmdc:bsm-11-28ygv379,61255_5_TOP,61255_5_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-prs2ev78'],nmdc:bsm-11-yvrrs523,61255_6_TOP,61255_6_TOP
"['metagenomics', 'bulk chemistry', 'natural organic matter']",['nmdc:sty-11-prs2ev78'],nmdc:bsm-11-w06myc60,61255_7_BTM,61255_7_BTM
"['metagenomics', 'bulk chemistry', 'natural organic matter']",['nmdc:sty-11-prs2ev78'],nmdc:bsm-11-yvg9x391,61255_8_TOP,61255_8_TOP
"['metagenomics', 'bulk chemistry', 'natural organic matter']",['nmdc:sty-11-prs2ev78'],nmdc:bsm-11-f5b68v35,61255_9_TOP,61255_9_TOP
"['metagenomics', 'bulk chemistry', 'natural organic matter']",['nmdc:sty-11-prs2ev78'],nmdc:bsm-11-6qym3d04,61255_9_BTM,61255_9_BTM
"['metagenomics', 'bulk chemistry', 'natural organic matter']",['nmdc:sty-11-prs2ev78'],nmdc:bsm-11-9391w062,61255_7_TOP,61255_7_TOP
"['metagenomics', 'bulk chemistry', 'natural organic matter']",['nmdc:sty-11-prs2ev78'],nmdc:bsm-11-2ynekj50,61255_8_BTM,61255_8_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-prs2ev78'],nmdc:bsm-11-vm2z5h81,61255_1_TOP,61255_1_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-prs2ev78'],nmdc:bsm-11-hhrtje58,61255_1_BTM,61255_1_BTM
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-prs2ev78'],nmdc:bsm-11-syaq6g69,61255_2_TOP,61255_2_TOP
"['metagenomics', 'natural organic matter', 'bulk chemistry']",['nmdc:sty-11-prs2ev78'],nmdc:bsm-11-8q91qx89,61255_2_BTM,61255_2_BTM
