id,samp_name,analysis_type,name,gold_biosample_identifiers,description
nmdc:bsm-11-kypx9g03,KONZ_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - KONZ_CoreB_BTM,[],
nmdc:bsm-11-mv4b7a83,MOAB_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - MOAB_CoreB_TOP,[],
nmdc:bsm-11-6qpb7006,KONA_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - KONA_CoreB_TOP,[],
nmdc:bsm-11-5zrgg133,KONZ_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - KONZ_CoreB_TOP,[],
nmdc:bsm-11-gdgx7y20,JORN_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - JORN_CoreB_BTM,[],
nmdc:bsm-11-qtx4rv47,NIWO_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - NIWO_CoreB_TOP,[],
nmdc:bsm-11-csjwcm85,NIWO_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - NIWO_CoreB_BTM,[],
nmdc:bsm-11-y183j127,LENO_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - LENO_CoreB_BTM,[],
nmdc:bsm-11-tb6j2b52,NOGP_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - NOGP_CoreB_TOP,[],
nmdc:bsm-11-242za275,NOGP_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - NOGP_CoreB_BTM,[],
nmdc:bsm-11-17yggv08,NWBA_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - NWBA_CoreB_TOP,[],
nmdc:bsm-11-pw40g637,JERC_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - JERC_CoreB_TOP,[],
nmdc:bsm-11-n0cjbs26,NWBA_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - NWBA_CoreB_BTM,[],
nmdc:bsm-11-nes3re42,ISNC_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - ISNC_CoreB_TOP,[],
nmdc:bsm-11-kr349661,JORN_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - JORN_CoreB_TOP,[],
nmdc:bsm-11-v06w0p56,NWBB_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - NWBB_CoreB_BTM,[],
nmdc:bsm-11-9g8bft03,NWBC_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - NWBC_CoreB_TOP,[],
nmdc:bsm-11-jrjgyz31,ONAQ_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - ONAQ_CoreB_BTM,[],
nmdc:bsm-11-fmakqh75,NWBC_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - NWBC_CoreB_BTM,[],
nmdc:bsm-11-4bhq1609,HARV_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - HARV_CoreB_BTM,[],
nmdc:bsm-11-vyahkv63,OCTB_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - OCTB_CoreB_TOP,[],
nmdc:bsm-11-1dr3yg80,OCTB_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - OCTB_CoreB_BTM,[],
nmdc:bsm-11-s37exk22,OCTU_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - OCTU_CoreB_BTM,[],
nmdc:bsm-11-rfczya60,ORNL_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - ORNL_CoreB_TOP,[],
nmdc:bsm-11-n95pbc41,OSBS_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - OSBS_CoreB_TOP,[],
nmdc:bsm-11-sk8vv550,OSBS_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - OSBS_CoreB_BTM,[],
nmdc:bsm-11-re45cx97,PETF_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - PETF_CoreB_BTM,['gold:Gb0315293'],"Soil microbial communities from pasture in Falmouth, Massachusetts, USA; Livestock Pasture"
nmdc:bsm-11-bd3azw68,PHTU_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - PHTU_CoreB_BTM,[],
nmdc:bsm-11-17dpqm86,OAES_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - OAES_CoreB_TOP,[],
nmdc:bsm-11-4qsxse29,OAES_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - OAES_CoreB_BTM,[],
nmdc:bsm-11-44a6bw30,PPRH_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - PPRH_CoreB_BTM,[],
nmdc:bsm-11-a8rwnz97,PHTU_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - PHTU_CoreB_TOP,[],
nmdc:bsm-11-c4h97147,PPRH_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - PPRH_CoreB_TOP,[],
nmdc:bsm-11-g06qhv26,PETF_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - PETF_CoreB_TOP,['gold:Gb0315292'],"Soil microbial communities from pasture in Falmouth, Massachusetts, USA; Livestock Pasture"
nmdc:bsm-11-6jgsb515,ONAQ_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - ONAQ_CoreB_TOP,[],
nmdc:bsm-11-7vwcsw36,NWBB_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - NWBB_CoreB_TOP,[],
nmdc:bsm-11-j71cqs78,LENO_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - LENO_CoreB_TOP,[],
nmdc:bsm-11-2prjdm84,PRS1_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - PRS1_CoreB_BTM,['gold:Gb0315295'],"Soil microbial communities from farm land in Prosser, Washington, USA; irrigated bare soil"
nmdc:bsm-11-y7nhh683,PRS2_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - PRS2_CoreB_BTM,['gold:Gb0315297'],"Soil microbial communities from farm land in Prosser, Washington, USA; non-irrigated bare soil"
nmdc:bsm-11-vsrekp52,ORNL_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - ORNL_CoreB_BTM,[],
nmdc:bsm-11-vwa8en18,PRS1_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - PRS1_CoreB_TOP,['gold:Gb0315294'],"Soil microbial communities from farm land in Prosser, Washington, USA; irrigated bare soil"
nmdc:bsm-11-bshhaw35,OCTU_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - OCTU_CoreB_TOP,[],
nmdc:bsm-11-2d3eam48,PRS2_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - PRS2_CoreB_TOP,['gold:Gb0315296'],"Soil microbial communities from farm land in Prosser, Washington, USA; non-irrigated bare soil"
nmdc:bsm-11-npatbg96,RMNP_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - RMNP_CoreB_BTM,[],
nmdc:bsm-11-7sda8g90,SCBI_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - SCBI_CoreB_TOP,[],
nmdc:bsm-11-m5r9dm16,RMNP_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - RMNP_CoreB_TOP,[],
nmdc:bsm-11-zjt5e859,SCBI_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - SCBI_CoreB_BTM,[],
nmdc:bsm-11-r4kd3451,SJER_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - SJER_CoreB_BTM,[],
nmdc:bsm-11-nwqccy07,SERC_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - SERC_CoreB_TOP,[],
nmdc:bsm-11-q5dajv38,SERC_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - SERC_CoreB_BTM,[],
nmdc:bsm-11-25tpde62,SOAP_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - SOAP_CoreB_BTM,[],
nmdc:bsm-11-rj9cx429,SJER_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - SJER_CoreB_TOP,[],
nmdc:bsm-11-z5ph3n23,SOAP_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - SOAP_CoreB_TOP,[],
nmdc:bsm-11-fksna229,SRER_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - SRER_CoreB_BTM,[],
nmdc:bsm-11-dcb3xd58,SRER_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - SRER_CoreB_TOP,[],
nmdc:bsm-11-s14s3085,SRR1_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - SRR1_CoreB_BTM,[],
nmdc:bsm-11-nvrxkc05,STEI_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - STEI_CoreB_BTM,[],
nmdc:bsm-11-yev21n31,SRR1_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - SRR1_CoreB_TOP,[],
nmdc:bsm-11-f0kp7a52,STEI_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - STEI_CoreB_TOP,[],
nmdc:bsm-11-376z9r79,TALL_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - TALL_CoreB_BTM,[],
nmdc:bsm-11-mm5fdy46,TALL_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - TALL_CoreB_TOP,[],
nmdc:bsm-11-dwsqg513,TEAK_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - TEAK_CoreB_BTM,[],
nmdc:bsm-11-8021r407,TEAK_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - TEAK_CoreB_TOP,[],
nmdc:bsm-11-4fnnr421,UKFS_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - UKFS_CoreB_TOP,[],
nmdc:bsm-11-072a9s43,TREE_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - TREE_CoreB_BTM,[],
nmdc:bsm-11-fftxqt61,UKFS_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - UKFS_CoreB_BTM,[],
nmdc:bsm-11-k9w2f768,TREE_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - TREE_CoreB_TOP,[],
nmdc:bsm-11-k2frr129,UNDE_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - UNDE_CoreB_TOP,[],
nmdc:bsm-11-sahhdp22,UT19_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - UT19_CoreB_TOP,[],
nmdc:bsm-11-c5g22234,UNDE_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - UNDE_CoreB_BTM,[],
nmdc:bsm-11-gbfwa548,UT19_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - UT19_CoreB_BTM,[],
nmdc:bsm-11-fmxqm307,UT12_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - UT12_CoreB_BTM,[],
nmdc:bsm-11-rj0hae42,UT23_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - UT23_CoreB_BTM,[],
nmdc:bsm-11-6rs1b028,UT12_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - UT12_CoreB_TOP,[],
nmdc:bsm-11-khmqtg51,UT32_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - UT32_CoreB_BTM,[],
nmdc:bsm-11-61kxxa32,UT23_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - UT23_CoreB_TOP,[],
nmdc:bsm-11-n0fhd330,WLLO_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - WLLO_CoreB_BTM,[],
nmdc:bsm-11-3z6z5297,WOOD_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - WOOD_CoreB_TOP,[],
nmdc:bsm-11-t412vy43,UT32_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - UT32_CoreB_TOP,[],
nmdc:bsm-11-2xa1hc44,WLLO_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - WLLO_CoreB_TOP,[],
nmdc:bsm-11-pae6yc22,WSU3_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - WSU3_CoreB_BTM,[],
nmdc:bsm-11-ve34br43,WSU1_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - WSU1_CoreB_BTM,[],
nmdc:bsm-11-9dtv5k97,WSU2_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - WSU2_CoreB_BTM,[],
nmdc:bsm-11-jht0ty76,WLUP_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - WLUP_CoreB_BTM,[],
nmdc:bsm-11-12esnc57,WLUP_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - WLUP_CoreB_TOP,[],
nmdc:bsm-11-wch0v413,WY01_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - WY01_CoreB_BTM,[],
nmdc:bsm-11-prd9n809,WSU3_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - WSU3_CoreB_TOP,['gold:Gb0315288'],"Soil microbial communities from forest in Warm Springs Reservation, Oregon, USA; Native Forest (no burn)"
nmdc:bsm-11-cpd4yk92,WY01_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - WY01_CoreB_TOP,[],
nmdc:bsm-11-t7kwgq57,WY03_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - WY03_CoreB_TOP,[],
nmdc:bsm-11-c4jafv63,WOOD_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - WOOD_CoreB_BTM,[],
nmdc:bsm-11-drbdd961,WY03_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - WY03_CoreB_BTM,[],
nmdc:bsm-11-f4pye047,WY09_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - WY09_CoreB_TOP,[],
nmdc:bsm-11-hcwfnb24,WY10_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - WY10_CoreB_TOP,[],
nmdc:bsm-11-nrfxrq30,WY09_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - WY09_CoreB_BTM,[],
nmdc:bsm-11-03dy0348,WY10_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - WY10_CoreB_BTM,[],
nmdc:bsm-11-pdtj6h88,WY15_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - WY15_CoreB_BTM,[],
nmdc:bsm-11-978cs285,WY15_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - WY15_CoreB_TOP,[],
nmdc:bsm-11-mv3yca60,WREF_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - WREF_CoreB_BTM,[],
nmdc:bsm-11-998fdt61,WSU2_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - WSU2_CoreB_TOP,['gold:Gb0317113'],"Soil microbial communities from forest in Warm Springs Reservation, Oregon, USA; Native Forest (burn)"
nmdc:bsm-11-e78px445,WREF_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - WREF_CoreB_TOP,[],
nmdc:bsm-11-8szgjg09,WSU1_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - WSU1_CoreB_TOP,['gold:Gb0317112'],"Soil microbial communities from forest in Warm Springs Reservation, Oregon, USA; Native Forest (burn)"
nmdc:bsm-11-my88da58,OKPF_CoreB_BTM,"['metagenomics', 'natural organic matter']",1000 soils - OKPF_CoreB_BTM,['gold:Gb0315291'],"Soil microbial communities from forest in Falmouth, Massachusetts, USA; Native Oak Pine Forest"
nmdc:bsm-11-yqhjes36,OKPF_CoreB_TOP,"['metagenomics', 'natural organic matter']",1000 soils - OKPF_CoreB_TOP,['gold:Gb0315290'],"Soil microbial communities from forest in Falmouth, Massachusetts, USA; Native Oak Pine Forest"
