description,gold_biosample_identifiers,id,insdc_biosample_identifiers,name,samp_name,lcms_name,submitter_id,lcms_extraction_protocol
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315810'],nmdc:bsm-11-2da77e23,SAMEA7723698,"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s015",13114.thomas.18.s015,4F3_7_6_thomas-18-s015-a03,qiita_sid_13114:13114.thomas.18.s015,Bulk_201901_UCSD
"Lake sediment microbial communities from Deaf Smith County, Texas, USA",['gold:Gb0315763'],nmdc:bsm-11-2drasm02,SAMEA7723611,"Lake sediment microbial communities from Deaf Smith County, Texas, USA - 13114.mayer.33.s001",13114.mayer.33.s001,1H1_3_10_mayer-33-s001-a04,qiita_sid_13114:13114.mayer.33.s001,Bulk_201901_UCSD
"Stony coral microbial communities from Gulf of Panama, Saboga, Panama",['gold:Gb0297380'],nmdc:bsm-11-2ggfq219,SAMEA7723743,"Stony coral microbial communities from Gulf of Panama, Saboga, Panama - 13114.zaneveld.9.s012",13114.zaneveld.9.s012,4H5_7_41_zaneveld-9-s012-a03,qiita_sid_13114:13114.zaneveld.9.s012,Bulk_201901_UCSD
"Oil palm plantation surface soil microbial communities from West Coast Park, Singapore",['gold:Gb0240019'],nmdc:bsm-11-2hv7wn93,SAMEA7724292,"Oil palm plantation surface soil microbial communities from West Coast Park, Singapore - Seedorf71.P2soil.4",,,qiita_sid_13114:13114.seedorf.71.s010,Bulk_Seed_PNNL
"Activated sludge microbial communities from Salt Lake City, Utah, USA",['gold:Gb0315428'],nmdc:bsm-11-2jt0tm89,SAMEA7724131,"Activated sludge microbial communities from Salt Lake City, Utah, USA - 13114.mcmahon.21.s006",13114.mcmahon.21.s006,,qiita_sid_13114:13114.mcmahon.21.s006,
"Sterile water microbial communities from research facility in San Diego, CA, USA",['gold:Gb0315567'],nmdc:bsm-11-2nxsp762,SAMEA7724358,"Sterile water microbial communities from research facility in San Diego, CA, USA - 13114.BLANK2.2A",13114.BLANK2.2A,,qiita_sid_13114:13114.BLANK2.2A,
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315813'],nmdc:bsm-11-2q6szk18,SAMEA7723701,"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s021",13114.thomas.18.s021,3H5_7_54_thomas-18-s021-a03,qiita_sid_13114:13114.thomas.18.s021,Bulk_201901_UCSD
"Lake sediment microbial communities from Deaf Smith County, Texas, USA",['gold:Gb0315752'],nmdc:bsm-11-2rtk4045,SAMEA7723437,"Lake sediment microbial communities from Deaf Smith County, Texas, USA - 13114.mayer.33.s002",13114.mayer.33.s002,2A6_3_38_mayer-33-s002-a04,qiita_sid_13114:13114.mayer.33.s002,Bulk_201901_UCSD
"Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA",['gold:Gb0239924'],nmdc:bsm-11-30npyx54,SAMEA7724303,"Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA - Shade23.Cen16.12102015",,,qiita_sid_13114:13114.shade.23.s007,Bulk_Seed_PNNL
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316035'],nmdc:bsm-11-30syvs50,SAMEA7724188,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s102",13114.mousseau.88.s102,,qiita_sid_13114:13114.mousseau.88.s102,Bulk_201901_UCSD
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316033'],nmdc:bsm-11-31jggw59,SAMEA7724186,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s100",13114.mousseau.88.s100,,qiita_sid_13114:13114.mousseau.88.s100,Bulk_201901_UCSD
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297480'],nmdc:bsm-11-32x2fy83,SAMEA7724378,"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s056",13114.thomas.19.s056,,qiita_sid_13114:13114.thomas.19.s056,
"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA",['gold:Gb0240123'],nmdc:bsm-11-3396fd37,SAMEA7723432,"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA - King27.Forest.2.8.10",King27.Forest.2.8.10,2B5_3_55_king-27-s013-a04,qiita_sid_13114:13114.king.27.s013,Bulk_201901_UCSD
"Marine salt marsh soil microbial communities from Province of Huelva, Spain",['gold:Gb0239976'],nmdc:bsm-11-33b3p871,SAMEA7724245,"Marine salt marsh soil microbial communities from Province of Huelva, Spain - RoyChowdhury45.soil.12.SO1.9s",RoyChowdhury45.soil.12.SO1.9s,,qiita_sid_13114:13114.roy.chowdhury.45.s012,
"Pitcher plant fluid microbial communities from Harvard Forest, Massachusetts, USA",['gold:Gb0315738'],nmdc:bsm-11-34rmp353,SAMEA7723869,"Pitcher plant fluid microbial communities from Harvard Forest, Massachusetts, USA - 13114.bittleston.68.s013",13114.bittleston.68.s013,,qiita_sid_13114:13114.bittleston.68.s013,
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297441'],nmdc:bsm-11-35m1xy10,SAMEA7724018,"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s003",13114.thomas.19.s003,,qiita_sid_13114:13114.thomas.19.s003,
"Terrestrial rangeland soil microbial communities from Oregon, Union County, USA",['gold:Gb0240101'],nmdc:bsm-11-39qcw250,SAMEA7724211,"Terrestrial rangeland soil microbial communities from Oregon, Union County, USA - Myrold59.soil.5.NRCS0096",,,qiita_sid_13114:13114.myrold.59.s005,Bulk_Seed_PNNL
"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia",['gold:Gb0297479'],nmdc:bsm-11-3a2a8m21,SAMEA7724377,"Brown algae microbial communities from South Pacific Ocean, New South Wales, Australia - 13114.thomas.19.s055",13114.thomas.19.s055,,qiita_sid_13114:13114.thomas.19.s055,
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315815'],nmdc:bsm-11-3a8h4b10,SAMEA7723703,"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s024",13114.thomas.18.s024,4G9_7_31_thomas-18-s024-a04,qiita_sid_13114:13114.thomas.18.s024,Bulk_201901_UCSD
"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean",['gold:Gb0297375'],nmdc:bsm-11-3abqrc90,SAMEA7723682,"Marine sediment microbial communities from Iberian Abyssal Plain, Atlantic Ocean - 13114.rohwer.85.s007",13114.rohwer.85.s007,1F9_2_60_rohwer-85-s007-a03,qiita_sid_13114:13114.rohwer.85.s007,Bulk_201901_UCSD
Grasslands and shrubland soil microbial communities from Mongolia,['gold:Gb0239958'],nmdc:bsm-11-3b5xj746,SAMEA7724112,Grasslands and shrubland soil microbial communities from Mongolia - MacRae3.soil.6,MacRae3.soil.6,,qiita_sid_13114:13114.macrae.crerar.3.s006,Bulk_Seed_PNNL
"Stony coral microbial communities from Gulf of Panama, Saboga, Panama",['gold:Gb0297360'],nmdc:bsm-11-3c3w4c53,SAMEA7723554,"Stony coral microbial communities from Gulf of Panama, Saboga, Panama - 13114.zaneveld.9.s005",13114.zaneveld.9.s005,4F6_7_9_zaneveld-9-s005-a04,qiita_sid_13114:13114.zaneveld.9.s005,Bulk_201901_UCSD
"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA",['gold:Gb0240117'],nmdc:bsm-11-3ekef286,SAMEA7723430,"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA - King27.Edge.2.1.8.10",King27.Edge.2.1.8.10,2B7_3_59_king-27-s007-a04,qiita_sid_13114:13114.king.27.s007,Bulk_201901_UCSD
"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA",['gold:Gb0240041'],nmdc:bsm-11-3h3w1c57,SAMEA7724337,"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA - Stegen38.activelayer.soil.T5.52m",,,qiita_sid_13114:13114.stegen.38.s006,Bulk_Seed_PNNL
"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA",['gold:Gb0240032'],nmdc:bsm-11-3kpex275,SAMEA7724318,"Subpolar coniferous forest soil microbial communities from Alaska, Fairbanks, USA - Stegen36.permafrost.t15.84m",,,qiita_sid_13114:13114.stegen.36.s012,
"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia",['gold:Gb0315852'],nmdc:bsm-11-3kpvrr32,SAMEA7724013,"Sponge tissue microbial communities from Davies Reef, Great Barrier Reef, Queensland, Australia - 13114.thomas.18.s018",13114.thomas.18.s018,,qiita_sid_13114:13114.thomas.18.s018,
"Temperate coniferous forest soil microbial communities from Oregon, Klamath County, USA",['gold:Gb0240056'],nmdc:bsm-11-3nhs7493,SAMEA7724212,"Temperate coniferous forest soil microbial communities from Oregon, Klamath County, USA - Myrold59.soil.6.NRCS0166",Myrold59.soil.6.NRCS0166,,qiita_sid_13114:13114.myrold.59.s006,
"Lichen microbial communities from Michigan, USA",['gold:Gb0315697'],nmdc:bsm-11-3sdqfq80,SAMEA7724049,"Lichen microbial communities from Michigan, USA - 13114.uren.82.s006",13114.uren.82.s006,,qiita_sid_13114:13114.uren.82.s006,
Banana cropland soil microbial communities from Singapore,['gold:Gb0239936'],nmdc:bsm-11-407zcq77,SAMEA7724284,Banana cropland soil microbial communities from Singapore - Seedorf71.BP2soil.26,,,qiita_sid_13114:13114.seedorf.71.s002,Bulk_Seed_PNNL
"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine",['gold:Gb0316032'],nmdc:bsm-11-41c0rb64,SAMEA7724185,"Fecal microbial communities from bank vole in forest near Chernobyl, Ukraine - 13114.mousseau.88.s098",13114.mousseau.88.s098,,qiita_sid_13114:13114.mousseau.88.s098,Bulk_201901_UCSD
"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA",['gold:Gb0240118'],nmdc:bsm-11-44hrnd69,SAMEA7723431,"Volcanic soil microbial communities from Hawaii, Kilauea Volcano, USA - King27.Edge.2.2.8.10",King27.Edge.2.2.8.10,2A7_3_42_king-27-s008-a04,qiita_sid_13114:13114.king.27.s008,Bulk_201901_UCSD
