biosample_id,biosample.associated_studies,biosample.name,raw_data_file,processed_data_file,calibration_file,mass_spec_configuration_name,chromat_configuration_name,instrument_used,processing_institution,instrument_analysis_start_date,instrument_analysis_end_date,execution_resource,gold_id
,['nmdc:sty-11-547rwq94'],,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_thomas_19_s038_a03_M_060.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212/EMP_Feces_thomas_19_s038_a03_M_060.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180911.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS,EMSL,2018-09-12 11:26:00,2018-09-12 12:03:29,EMSL-RZR,
,['nmdc:sty-11-547rwq94'],,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_thomas_19_s048_a03_M_198.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212/EMP_Feces_thomas_19_s048_a03_M_198.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180918.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS,EMSL,2018-09-19 01:54:00,2018-09-19 02:31:29,EMSL-RZR,
,['nmdc:sty-11-547rwq94'],,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_thomas_19_s047_a03_M_199.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212/EMP_Feces_thomas_19_s047_a03_M_199.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180918.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS,EMSL,2018-09-19 02:36:00,2018-09-19 03:13:29,EMSL-RZR,
,['nmdc:sty-11-547rwq94'],,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_thomas_19_s046_a03_M_200.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212/EMP_Feces_thomas_19_s046_a03_M_200.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180918.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS,EMSL,2018-09-19 03:19:00,2018-09-19 03:56:29,EMSL-RZR,
,['nmdc:sty-11-547rwq94'],,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_thomas_19_s045_a03_M_201.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212/EMP_Feces_thomas_19_s045_a03_M_201.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180918.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS,EMSL,2018-09-19 04:01:00,2018-09-19 04:38:29,EMSL-RZR,
,['nmdc:sty-11-547rwq94'],,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_thomas_19_s044_a03_M_202.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212/EMP_Feces_thomas_19_s044_a03_M_202.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180918.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS,EMSL,2018-09-19 04:44:00,2018-09-19 05:21:29,EMSL-RZR,
,['nmdc:sty-11-547rwq94'],,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_thomas_19_s043_a03_M_203.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212/EMP_Feces_thomas_19_s043_a03_M_203.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180918.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS,EMSL,2018-09-19 05:26:00,2018-09-19 06:03:29,EMSL-RZR,
,['nmdc:sty-11-547rwq94'],,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_thomas_19_s042_a03_M_204.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212/EMP_Feces_thomas_19_s042_a03_M_204.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180918.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS,EMSL,2018-09-19 06:09:00,2018-09-19 06:46:29,EMSL-RZR,
,['nmdc:sty-11-547rwq94'],,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_thomas_19_s041_a03_M_205.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212/EMP_Feces_thomas_19_s041_a03_M_205.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180918.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS,EMSL,2018-09-19 06:52:00,2018-09-19 07:29:29,EMSL-RZR,
,['nmdc:sty-11-547rwq94'],,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_thomas_19_s040_a03_M_206.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212/EMP_Feces_thomas_19_s040_a03_M_206.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180918.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS,EMSL,2018-09-19 07:34:00,2018-09-19 08:11:29,EMSL-RZR,
,['nmdc:sty-11-547rwq94'],,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_thomas_19_s039_a03_M_207.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212/EMP_Feces_thomas_19_s039_a03_M_207.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180918.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS,EMSL,2018-09-19 08:17:00,2018-09-19 08:54:29,EMSL-RZR,
,['nmdc:sty-11-547rwq94'],,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_thomas_19_s033_a03_M_208.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212/EMP_Feces_thomas_19_s033_a03_M_208.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180918.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS,EMSL,2018-09-19 08:59:00,2018-09-19 09:36:29,EMSL-RZR,
,['nmdc:sty-11-547rwq94'],,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/EMP_Feces_thomas_19_s049_a03_M_209.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/processed_20250212/EMP_Feces_thomas_19_s049_a03_M_209.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_emp500_metabolomics/raw/GCMS_FAMEs_01_GCMS02_20180918.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS,EMSL,2018-09-19 09:42:00,2018-09-19 10:19:29,EMSL-RZR,
