id,name,description,samp_name,gold_biosample_identifiers
nmdc:bsm-11-5s5m0j49,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-7986-Co1_37_5 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",GW-7986-Co1_37_5 soil,['gold:Gb0291674']
nmdc:bsm-11-01teww33,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-351-Co2_42_17 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-351-Co2_42_17 soil,['gold:Gb0291618']
nmdc:bsm-11-f2sf9h97,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-133-Co1_27_3 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-133-Co1_27_3 soil,['gold:Gb0291591']
nmdc:bsm-11-535b4v37,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-833-CL3_77_6 soil","Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-833-CL3_77_6 soil,['gold:Gb0291637']
nmdc:bsm-11-4yy9a239,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-360-Co2_62_25 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-360-Co2_62_25 rhizosphere,['gold:Gb0291732']
nmdc:bsm-11-1eybv881,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-833-CL2_42_16 soil","Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-833-CL2_42_16 soil,['gold:Gb0291636']
nmdc:bsm-11-axr9kj21,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-133-Co3_19_46 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-133-Co3_19_46 soil,['gold:Gb0291593']
nmdc:bsm-11-kff3y587,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-11047-CL2_41_30 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",GW-11047-CL2_41_30 rhizosphere,['gold:Gb0291777']
nmdc:bsm-11-18btad96,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-285-CL1_33_12 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-285-CL1_33_12 rhizosphere,['gold:Gb0291713']
nmdc:bsm-11-7bbm7795,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-86-CL2_69_17 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-86-CL2_69_17 rhizosphere,['gold:Gb0291763']
nmdc:bsm-11-qyx7qs76,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-847-Co1_12_9 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-847-Co1_12_9 rhizosphere,['gold:Gb0291760']
nmdc:bsm-11-vnkf4228,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL1_35_33 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-13-CL1_35_33 rhizosphere,['gold:Gb0291692']
nmdc:bsm-11-gq2m5921,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-833-Co2_47_23 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-833-Co2_47_23 soil,['gold:Gb0291639']
nmdc:bsm-11-g9w69290,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-133-Co3_19_46 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-133-Co3_19_46 rhizosphere,['gold:Gb0291703']
nmdc:bsm-11-yqr04970,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-7986-Co3_31_39 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",GW-7986-Co3_31_39 soil,['gold:Gb0291676']
nmdc:bsm-11-af8ap759,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - SKWD-24-1-CL2_58_25 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",SKWD-24-1-CL2_58_25 rhizosphere,['gold:Gb0291796']
nmdc:bsm-11-dz264p50,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-133-Co2_50_25 endosphere","Root microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-133-Co2_50_25 endosphere,['gold:Gb0305843']
nmdc:bsm-11-tcxb3w32,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-351-Co2_42_17 endosphere","Root microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-351-Co2_42_17 endosphere,['gold:Gb0305869']
nmdc:bsm-11-b4k9w367,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL2_39_29 soil","Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-13-CL2_39_29 soil,['gold:Gb0291583']
nmdc:bsm-11-p4wss361,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-351-Co3_11_46 endosphere","Root microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-351-Co3_11_46 endosphere,['gold:Gb0305870']
nmdc:bsm-11-mnkv7h37,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-866-CL3_75_7 soil","Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-866-CL3_75_7 soil,['gold:Gb0291655']
nmdc:bsm-11-m4p1ck60,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-285-CL2_56_7 endosphere","Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-285-CL2_56_7 endosphere,['gold:Gb0305855']
nmdc:bsm-11-43rwvm93,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWD-24-1-Co1_7_5 endosphere","Root microbial communities from poplar common garden site in Corvallis, Oregon, USA",SKWD-24-1-Co1_7_5 endosphere,['gold:Gb0305939']
nmdc:bsm-11-sejjv213,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWD-24-1-Co1_7_5 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",SKWD-24-1-Co1_7_5 soil,['gold:Gb0291688']
nmdc:bsm-11-4838sk73,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co3_21_57 endosphere","Root microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-13-Co3_21_57 endosphere,['gold:Gb0305838']
nmdc:bsm-11-nsaqf095,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-866-CL2_50_11 soil","Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-866-CL2_50_11 soil,['gold:Gb0291654']
nmdc:bsm-11-d8cgz835,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-833-Co3_31_37 endosphere","Root microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-833-Co3_31_37 endosphere,['gold:Gb0305892']
nmdc:bsm-11-nx7zwq61,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-258-CL1_34_5 endosphere","Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-258-CL1_34_5 endosphere,['gold:Gb0305852']
nmdc:bsm-11-3xthwx28,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-9591-CL2_56_12 endosphere","Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA",GW-9591-CL2_56_12 endosphere,['gold:Gb0305929']
nmdc:bsm-11-69g1rw32,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-234-CL1_24_28 endosphere","Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-234-CL1_24_28 endosphere,['gold:Gb0305847']
nmdc:bsm-11-w4cc0w75,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-833-Co3_31_37 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-833-Co3_31_37 soil,['gold:Gb0291640']
nmdc:bsm-11-9gmcv191,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-388-CL1_25_34 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-388-CL1_25_34 rhizosphere,['gold:Gb0291734']
nmdc:bsm-11-011z7z70,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-4579-Co3_14_51 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",GW-4579-Co3_14_51 rhizosphere,['gold:Gb0291782']
nmdc:bsm-11-wg01qe88,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-9591-Co3_35_48 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",GW-9591-Co3_35_48 soil,['gold:Gb0291682']
nmdc:bsm-11-62fxv990,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-234-Co1_23_3 endosphere","Root microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-234-Co1_23_3 endosphere,['gold:Gb0305849']
nmdc:bsm-11-k7jqh647,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL2_39_29 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-13-CL2_39_29 rhizosphere,['gold:Gb0291693']
nmdc:bsm-11-yxxvqg27,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-258-CL1_34_5 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-258-CL1_34_5 rhizosphere,['gold:Gb0291711']
nmdc:bsm-11-b3d5yg81,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-234-CL1_24_28 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-234-CL1_24_28 rhizosphere,['gold:Gb0291706']
nmdc:bsm-11-8eypa967,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-905-CL1_32_20 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-905-CL1_32_20 rhizosphere,['gold:Gb0291774']
nmdc:bsm-11-825geg82,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-198-CL3_81_33 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-198-CL3_81_33 rhizosphere,['gold:Gb0291705']
nmdc:bsm-11-h49t7j41,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-133-Co1_27_3 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-133-Co1_27_3 rhizosphere,['gold:Gb0291701']
nmdc:bsm-11-jg4tae61,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-4579-Co1_14_4 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",GW-4579-Co1_14_4 soil,['gold:Gb0291671']
nmdc:bsm-11-1fa0hs25,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL2_62_7 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-133-CL2_62_7 rhizosphere,['gold:Gb0291699']
nmdc:bsm-11-q4qc4d09,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-307-CL2_57_8 soil","Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-307-CL2_57_8 soil,['gold:Gb0291606']
nmdc:bsm-11-20n7wy48,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-360-Co1_23_6 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-360-Co1_23_6 soil,['gold:Gb0291665']
nmdc:bsm-11-2g6d7w97,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-331-CL2_55_18 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-331-CL2_55_18 rhizosphere,['gold:Gb0291720']
nmdc:bsm-11-w11dzv86,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-845-Co3_28_42 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-845-Co3_28_42 soil,['gold:Gb0291646']
nmdc:bsm-11-54rdaf84,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-866-Co3_27_48 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-866-Co3_27_48 soil,['gold:Gb0291658']
nmdc:bsm-11-1a9d1633,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWD-24-1-Co3_24_32 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",SKWD-24-1-Co3_24_32 rhizosphere,['gold:Gb0291799']
nmdc:bsm-11-azfn2405,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-331-Co3_15_40 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-331-Co3_15_40 rhizosphere,['gold:Gb0291723']
nmdc:bsm-11-m9k8tx16,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL2_62_7 endosphere","Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-133-CL2_62_7 endosphere,['gold:Gb0305840']
nmdc:bsm-11-vv577p15,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-845-CL1_31_22 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-845-CL1_31_22 rhizosphere,['gold:Gb0291751']
nmdc:bsm-11-nrkha596,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-351-Co1_10_3 endosphere","Root microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-351-Co1_10_3 endosphere,['gold:Gb0305868']
nmdc:bsm-11-ffrfzy83,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co3_16_51 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-904-Co3_16_51 soil,['gold:Gb0291663']
nmdc:bsm-11-wh35sj59,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-258-CL2_67_23 endosphere","Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-258-CL2_67_23 endosphere,['gold:Gb0305853']
nmdc:bsm-11-cqbpqf62,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-198-CL3_81_33 endosphere","Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-198-CL3_81_33 endosphere,['gold:Gb0305846']
nmdc:bsm-11-h3e54f51,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-4579-Co1_14_4 endosphere","Root microbial communities from poplar common garden site in Corvallis, Oregon, USA",GW-4579-Co1_14_4 endosphere,['gold:Gb0305922']
nmdc:bsm-11-42c9kj17,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-285-CL1_33_12 endosphere","Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-285-CL1_33_12 endosphere,['gold:Gb0305854']
nmdc:bsm-11-cv5vxb38,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-9591-Co1_16_8 endosphere","Root microbial communities from poplar common garden site in Corvallis, Oregon, USA",GW-9591-Co1_16_8 endosphere,['gold:Gb0305931']
nmdc:bsm-11-1yvac190,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-307-CL1_26_33 endosphere","Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-307-CL1_26_33 endosphere,['gold:Gb0305856']
nmdc:bsm-11-9f2ahd94,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-331-Co1_12_7 endosphere","Root microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-331-Co1_12_7 endosphere,['gold:Gb0305862']
nmdc:bsm-11-d1h1d248,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-234-Co2_52_27 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-234-Co2_52_27 rhizosphere,['gold:Gb0291709']
nmdc:bsm-11-h2k7nv93,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-4579-CL1_25_23 endosphere","Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA",GW-4579-CL1_25_23 endosphere,['gold:Gb0305919']
nmdc:bsm-11-3636w778,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-9591-Co3_35_48 endosphere","Root microbial communities from poplar common garden site in Corvallis, Oregon, USA",GW-9591-Co3_35_48 endosphere,['gold:Gb0305933']
nmdc:bsm-11-adzwqg44,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-360-CL2_44_14 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-360-CL2_44_14 rhizosphere,['gold:Gb0291730']
nmdc:bsm-11-ndp7xj19,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co3_21_57 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-13-Co3_21_57 soil,['gold:Gb0291587']
nmdc:bsm-11-jqwsb466,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-7986-Co3_31_39 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",GW-7986-Co3_31_39 rhizosphere,['gold:Gb0291785']
nmdc:bsm-11-6ntzv433,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-307-Co1_31_6 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-307-Co1_31_6 rhizosphere,['gold:Gb0291717']
nmdc:bsm-11-ce878p31,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-360-Co2_62_25 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-360-Co2_62_25 soil,['gold:Gb0291622']
nmdc:bsm-11-rk62cv25,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-4579-CL2_50_20 endosphere","Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA",GW-4579-CL2_50_20 endosphere,['gold:Gb0305920']
nmdc:bsm-11-s0np7e14,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-4579-CL3_72_14 soil","Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",GW-4579-CL3_72_14 soil,['gold:Gb0291670']
nmdc:bsm-11-kxtgzv04,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-307-Co1_31_6 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-307-Co1_31_6 soil,['gold:Gb0291607']
nmdc:bsm-11-8aktkq28,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-470-CL2_38_23 endosphere","Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-470-CL2_38_23 endosphere,['gold:Gb0305884']
nmdc:bsm-11-xpv2fm92,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-331-Co1_12_7 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-331-Co1_12_7 soil,['gold:Gb0291611']
nmdc:bsm-11-at9sda86,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-833-CL3_77_6 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-833-CL3_77_6 rhizosphere,['gold:Gb0291747']
nmdc:bsm-11-pgfhya35,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-847-CL3_83_27 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-847-CL3_83_27 rhizosphere,['gold:Gb0291759']
nmdc:bsm-11-ce1sg012,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-351-CL1_27_10 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-351-CL1_27_10 rhizosphere,['gold:Gb0291724']
nmdc:bsm-11-f0st6436,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co3_21_57 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-13-Co3_21_57 rhizosphere,['gold:Gb0291697']
nmdc:bsm-11-dd8yd668,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-388-Co2_54_7 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-388-Co2_54_7 soil,['gold:Gb0291628']
nmdc:bsm-11-6m6v8582,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-331-Co2_50_17 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-331-Co2_50_17 soil,['gold:Gb0291612']
nmdc:bsm-11-v85xpj21,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-360-Co3_13_34 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-360-Co3_13_34 rhizosphere,['gold:Gb0291733']
nmdc:bsm-11-4htstp40,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-388-Co3_8_57 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-388-Co3_8_57 rhizosphere,['gold:Gb0291739']
nmdc:bsm-11-1dpnqj50,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-833-Co1_6_4 soil","Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-833-Co1_6_4 soil,['gold:Gb0291638']
nmdc:bsm-11-f4f5qh88,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-11047-CL2_41_30 soil","Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",GW-11047-CL2_41_30 soil,['gold:Gb0291667']
nmdc:bsm-11-kz54ep97,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-866-Co3_27_48 rhizosphere","Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-866-Co3_27_48 rhizosphere,['gold:Gb0291768']
nmdc:bsm-11-qs0hz846,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-448-CL3_88_32 soil","Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA",BESC-448-CL3_88_32 soil,['gold:Gb0291631']
nmdc:bsm-11-qvm0vt03,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-234-Co3_21_62 endosphere","Root microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-234-Co3_21_62 endosphere,['gold:Gb0305851']
nmdc:bsm-11-n6vwc542,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWA-24-3-Co2_41_10 endosphere","Root microbial communities from poplar common garden site in Corvallis, Oregon, USA",SKWA-24-3-Co2_41_10 endosphere,['gold:Gb0305936']
nmdc:bsm-11-bcns6e03,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-4579-CL1_25_23_RD_R2 endosphere","Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA",GW-4579-CL1_25_23_RD_R2 endosphere,['gold:Gb0305942']
nmdc:bsm-11-zvh2hc82,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co3_16_51 endosphere","Root microbial communities from poplar common garden site in Corvallis, Oregon, USA",BESC-904-Co3_16_51 endosphere,['gold:Gb0305915']
