Biosample ID,Associated Studies,Processing Type,Raw Data File,Raw Data Object Alt ID,Proessed Data Directory,mass spec configuration name,lc config name,instrument used,processing instutition,instrument analysis start date,instrument analysis end date,execution resrouce
nmdc:bsm-11-vdqjvg77,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_123_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-09T19:17:05Z,2019-08-09T19:51:07Z,EMSL-RZR
nmdc:bsm-11-q71pns38,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_357_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T19:28:24Z,2019-08-10T20:02:26Z,EMSL-RZR
nmdc:bsm-11-m959ky58,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_121_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-09T17:51:44Z,2019-08-09T18:25:45Z,EMSL-RZR
nmdc:bsm-11-djp7e211,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_158_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T11:33:38Z,2019-08-13T12:07:41Z,EMSL-RZR
nmdc:bsm-11-qpwvgx11,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_150_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-09T23:33:10Z,2019-08-10T00:07:12Z,EMSL-RZR
nmdc:bsm-11-jvtvhn02,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_122_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-09T18:34:27Z,2019-08-09T19:08:30Z,EMSL-RZR
nmdc:bsm-11-4sw8dr23,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_185_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T10:13:25Z,2019-08-10T10:47:26Z,EMSL-RZR
nmdc:bsm-11-djp7e211,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_158_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T03:49:21Z,2019-08-10T04:23:21Z,EMSL-RZR
nmdc:bsm-11-k3p2ap93,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_367_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T20:11:00Z,2019-08-10T20:45:03Z,EMSL-RZR
nmdc:bsm-11-ntfp9891,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_143_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-09T22:07:44Z,2019-08-09T22:41:46Z,EMSL-RZR
nmdc:bsm-11-ywtc8b82,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_115_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-12T21:20:00Z,2019-08-12T21:54:02Z,EMSL-RZR
nmdc:bsm-11-0pq46m48,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_181_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T05:14:40Z,2019-08-10T05:48:41Z,EMSL-RZR
nmdc:bsm-11-cnc9ww90,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_141_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-09T21:25:06Z,2019-08-09T21:59:08Z,EMSL-RZR
nmdc:bsm-11-jvtvhn02,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_122_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T02:18:44Z,2019-08-13T02:52:47Z,EMSL-RZR
nmdc:bsm-11-1srsh991,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_116_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-09T14:18:17Z,2019-08-09T14:52:19Z,EMSL-RZR
nmdc:bsm-11-m959ky58,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_121_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T01:36:00Z,2019-08-13T02:10:04Z,EMSL-RZR
nmdc:bsm-11-v1mm5n61,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_380_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T23:01:43Z,2019-08-10T23:35:45Z,EMSL-RZR
nmdc:bsm-11-an1f1v40,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_182_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T15:49:38Z,2019-08-13T16:23:38Z,EMSL-RZR
nmdc:bsm-11-y693ve58,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_204_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T17:20:21Z,2019-08-10T17:54:21Z,EMSL-RZR
nmdc:bsm-11-an1f1v40,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_182_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T08:05:21Z,2019-08-10T08:39:22Z,EMSL-RZR
nmdc:bsm-11-39j0y956,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_118_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-09T15:43:42Z,2019-08-09T16:17:43Z,EMSL-RZR
nmdc:bsm-11-hkftnp97,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_183_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T08:48:03Z,2019-08-10T09:22:05Z,EMSL-RZR
nmdc:bsm-11-xarr2j67,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_193_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T11:38:50Z,2019-08-10T12:12:50Z,EMSL-RZR
nmdc:bsm-11-hkftnp97,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_183_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T16:32:14Z,2019-08-13T17:06:17Z,EMSL-RZR
nmdc:bsm-11-q42vcp15,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_381_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T23:44:27Z,2019-08-11T00:18:27Z,EMSL-RZR
nmdc:bsm-11-mcp72s80,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_198_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T15:12:20Z,2019-08-10T15:46:20Z,EMSL-RZR
nmdc:bsm-11-tffhv104,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_144_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T06:34:53Z,2019-08-13T07:08:54Z,EMSL-RZR
nmdc:bsm-11-0pq46m48,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_181_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T12:58:57Z,2019-08-13T13:32:57Z,EMSL-RZR
nmdc:bsm-11-h36vdc50,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_157_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T10:50:52Z,2019-08-13T11:24:53Z,EMSL-RZR
nmdc:bsm-11-2h2j6s31,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_356_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T18:45:47Z,2019-08-10T19:19:49Z,EMSL-RZR
nmdc:bsm-11-4tpf7456,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_196_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T13:46:52Z,2019-08-10T14:20:53Z,EMSL-RZR
nmdc:bsm-11-y742vs93,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_197_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T14:29:36Z,2019-08-10T15:03:38Z,EMSL-RZR
nmdc:bsm-11-2nqe9j19,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_120_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T00:53:20Z,2019-08-13T01:27:24Z,EMSL-RZR
nmdc:bsm-11-tn2emc28,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_194_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T12:21:30Z,2019-08-10T12:55:31Z,EMSL-RZR
nmdc:bsm-11-29d9a657,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_379_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T22:19:05Z,2019-08-10T22:53:05Z,EMSL-RZR
nmdc:bsm-11-ntfp9891,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_143_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T05:52:09Z,2019-08-13T06:26:10Z,EMSL-RZR
nmdc:bsm-11-k05a2416,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_368_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T20:53:44Z,2019-08-10T21:27:44Z,EMSL-RZR
nmdc:bsm-11-tq2k2z77,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_151_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T08:00:08Z,2019-08-13T08:34:11Z,EMSL-RZR
nmdc:bsm-11-ywtc8b82,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_115_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-09T13:35:37Z,2019-08-09T14:09:39Z,EMSL-RZR
nmdc:bsm-11-39j0y956,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_118_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-12T23:28:01Z,2019-08-13T00:02:04Z,EMSL-RZR
nmdc:bsm-11-afgbs159,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_184_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T17:14:56Z,2019-08-13T17:48:59Z,EMSL-RZR
nmdc:bsm-11-kj72y166,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_202_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T15:54:59Z,2019-08-10T16:28:59Z,EMSL-RZR
nmdc:bsm-11-xcyvst62,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_117_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-12T22:45:25Z,2019-08-12T23:19:28Z,EMSL-RZR
nmdc:bsm-11-3d7gwr49,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_186_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T10:56:07Z,2019-08-10T11:30:09Z,EMSL-RZR
nmdc:bsm-11-vdqjvg77,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_123_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T03:01:28Z,2019-08-13T03:35:29Z,EMSL-RZR
nmdc:bsm-11-tq2k2z77,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_151_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T00:15:54Z,2019-08-10T00:49:54Z,EMSL-RZR
nmdc:bsm-11-kj72y166,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_202_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T23:39:04Z,2019-08-14T00:13:05Z,EMSL-RZR
nmdc:bsm-11-qpwvgx11,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_150_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T07:17:31Z,2019-08-13T07:51:31Z,EMSL-RZR
nmdc:bsm-11-07spy989,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_369_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T21:36:24Z,2019-08-10T22:10:24Z,EMSL-RZR
nmdc:bsm-11-1srsh991,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_116_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-12T22:02:41Z,2019-08-12T22:36:44Z,EMSL-RZR
nmdc:bsm-11-k05a2416,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_368_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-14T04:37:49Z,2019-08-14T05:11:50Z,EMSL-RZR
nmdc:bsm-11-2h2j6s31,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_356_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-14T02:29:43Z,2019-08-14T03:03:45Z,EMSL-RZR
nmdc:bsm-11-07spy989,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_369_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-14T05:20:34Z,2019-08-14T05:54:36Z,EMSL-RZR
nmdc:bsm-11-vdn3kn48,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_133_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T03:44:06Z,2019-08-13T04:18:06Z,EMSL-RZR
nmdc:bsm-11-mcp72s80,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_198_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T22:56:26Z,2019-08-13T23:30:26Z,EMSL-RZR
nmdc:bsm-11-c2b84794,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_203_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-10T16:37:35Z,2019-08-10T17:11:36Z,EMSL-RZR
nmdc:bsm-11-xarr2j67,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_193_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T19:22:59Z,2019-08-13T19:57:02Z,EMSL-RZR
nmdc:bsm-11-k3p2ap93,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_367_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-14T03:55:05Z,2019-08-14T04:29:05Z,EMSL-RZR
nmdc:bsm-11-cnc9ww90,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_141_Lipids_Neg_14Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-14T10:01:44Z,2019-08-14T10:35:44Z,EMSL-RZR
nmdc:bsm-11-hr55b403,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_140_Lipids_Neg_14Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-14T09:19:01Z,2019-08-14T09:53:02Z,EMSL-RZR
nmdc:bsm-11-4sw8dr23,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_185_Lipids_Neg_14Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-14T12:09:52Z,2019-08-14T12:43:52Z,EMSL-RZR
nmdc:bsm-11-3d7gwr49,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_186_Lipids_Neg_14Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-14T12:52:36Z,2019-08-14T13:26:36Z,EMSL-RZR
nmdc:bsm-11-v1mm5n61,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_380_Lipids_Neg_14Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-14T15:00:47Z,2019-08-14T15:34:49Z,EMSL-RZR
nmdc:bsm-11-tffhv104,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_144_Lipids_POS_09Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, positive",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-09T22:50:28Z,2019-08-09T23:24:29Z,EMSL-RZR
nmdc:bsm-11-q71pns38,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_357_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-14T03:12:27Z,2019-08-14T03:46:27Z,EMSL-RZR
nmdc:bsm-11-z97z1r63,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_195_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T20:48:19Z,2019-08-13T21:22:20Z,EMSL-RZR
nmdc:bsm-11-4tpf7456,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_196_Lipids_Neg_12Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-13T21:31:05Z,2019-08-13T22:05:05Z,EMSL-RZR
nmdc:bsm-11-j7ha4a31,nmdc:sty-11-dcqce727,,EMSL_49991_Brodie_152_Lipids_Neg_14Aug19_Lola-WCSH417820.raw,,,"EMSL lipidomics DDA mass spectrometry method, negative",EMSL LC method for non-polar metabolites,VOrbiETD04,EMSL,2019-08-14T10:44:28Z,2019-08-14T11:18:30Z,EMSL-RZR
