id,name,description,gold_biosample_identifiers,samp_name
nmdc:bsm-11-33rxfe28,SanClements_NEON_056,SanClements NEON (EMSL 50718),[],SanClements_NEON_056
nmdc:bsm-11-mfnrac78,SanClements_NEON_104,SanClements NEON (EMSL 50718),[],SanClements_NEON_104
nmdc:bsm-11-w6gn3e06,SanClements_NEON_020,SanClements NEON (EMSL 50718),[],SanClements_NEON_020
nmdc:bsm-11-zwrvdq41,SanClements_NEON_086,SanClements NEON (EMSL 50718),[],SanClements_NEON_086
nmdc:bsm-11-zswb5r79,SanClements_NEON_094,SanClements NEON (EMSL 50718),[],SanClements_NEON_094
nmdc:bsm-11-a55tdr44,SanClements_NEON_087,SanClements NEON (EMSL 50718),[],SanClements_NEON_087
nmdc:bsm-11-99rmen34,SanClements_NEON_027,SanClements NEON (EMSL 50718),[],SanClements_NEON_027
nmdc:bsm-11-k4pmyh07,SanClements_NEON_025,SanClements NEON (EMSL 50718),[],SanClements_NEON_025
nmdc:bsm-11-wv02q255,SanClements_NEON_037,SanClements NEON (EMSL 50718),[],SanClements_NEON_037
nmdc:bsm-11-q6pn6539,SanClements_NEON_093,SanClements NEON (EMSL 50718),[],SanClements_NEON_093
nmdc:bsm-11-jevb1989,SanClements_NEON_019,SanClements NEON (EMSL 50718),[],SanClements_NEON_019
nmdc:bsm-11-5qkggg56,SanClements_NEON_014,SanClements NEON (EMSL 50718),[],SanClements_NEON_014
nmdc:bsm-11-m7h00428,SanClements_NEON_060,SanClements NEON (EMSL 50718),[],SanClements_NEON_060
nmdc:bsm-11-te7rmp35,SanClements_NEON_061,SanClements NEON (EMSL 50718),[],SanClements_NEON_061
nmdc:bsm-11-kncmwb50,SanClements_NEON_053,SanClements NEON (EMSL 50718),[],SanClements_NEON_053
nmdc:bsm-11-80jr8p82,SanClements_NEON_100,SanClements NEON (EMSL 50718),[],SanClements_NEON_100
nmdc:bsm-11-c981me62,SanClements_NEON_070,SanClements NEON (EMSL 50718),[],SanClements_NEON_070
nmdc:bsm-11-pfyv1x30,SanClements_NEON_006,SanClements NEON (EMSL 50718),[],SanClements_NEON_006
nmdc:bsm-11-41xbh390,SanClements_NEON_038,SanClements NEON (EMSL 50718),[],SanClements_NEON_038
nmdc:bsm-11-v58neq55,SanClements_NEON_088,SanClements NEON (EMSL 50718),[],SanClements_NEON_088
nmdc:bsm-11-4sg1fn35,SanClements_NEON_057,SanClements NEON (EMSL 50718),[],SanClements_NEON_057
nmdc:bsm-11-76pa8x06,SanClements_NEON_068,SanClements NEON (EMSL 50718),[],SanClements_NEON_068
nmdc:bsm-11-ts4c0m53,SanClements_NEON_029,SanClements NEON (EMSL 50718),[],SanClements_NEON_029
nmdc:bsm-11-hqym3x22,SanClements_NEON_090,SanClements NEON (EMSL 50718),[],SanClements_NEON_090
nmdc:bsm-11-bf1mw907,SanClements_NEON_024,SanClements NEON (EMSL 50718),[],SanClements_NEON_024
nmdc:bsm-11-wwft9x65,SanClements_NEON_049,SanClements NEON (EMSL 50718),[],SanClements_NEON_049
nmdc:bsm-11-09zas694,SanClements_NEON_092,SanClements NEON (EMSL 50718),[],SanClements_NEON_092
nmdc:bsm-11-n52ga279,SanClements_NEON_039,SanClements NEON (EMSL 50718),[],SanClements_NEON_039
nmdc:bsm-11-kprzat96,SanClements_NEON_067,SanClements NEON (EMSL 50718),[],SanClements_NEON_067
nmdc:bsm-11-rxr86017,SanClements_NEON_043,SanClements NEON (EMSL 50718),[],SanClements_NEON_043
nmdc:bsm-11-dmaft668,SanClements_NEON_023,SanClements NEON (EMSL 50718),[],SanClements_NEON_023
nmdc:bsm-11-44zmrs82,SanClements_NEON_003,SanClements NEON (EMSL 50718),[],SanClements_NEON_003
nmdc:bsm-11-jj52pq72,SanClements_NEON_022,SanClements NEON (EMSL 50718),[],SanClements_NEON_022
nmdc:bsm-11-jdz04w14,SanClements_NEON_040,SanClements NEON (EMSL 50718),[],SanClements_NEON_040
nmdc:bsm-11-32g6a079,SanClements_NEON_002,SanClements NEON (EMSL 50718),[],SanClements_NEON_002
nmdc:bsm-11-paa88854,SanClements_NEON_028,SanClements NEON (EMSL 50718),[],SanClements_NEON_028
nmdc:bsm-11-bn6xv580,SanClements_NEON_010,SanClements NEON (EMSL 50718),[],SanClements_NEON_010
nmdc:bsm-11-e8bj5631,SanClements_NEON_076,SanClements NEON (EMSL 50718),[],SanClements_NEON_076
nmdc:bsm-11-m9t7r544,SanClements_NEON_066,SanClements NEON (EMSL 50718),[],SanClements_NEON_066
nmdc:bsm-11-brhbfn81,SanClements_NEON_033,SanClements NEON (EMSL 50718),[],SanClements_NEON_033
nmdc:bsm-11-k72x1s78,SanClements_NEON_009,SanClements NEON (EMSL 50718),[],SanClements_NEON_009
nmdc:bsm-11-2m8gfz34,SanClements_NEON_026,SanClements NEON (EMSL 50718),[],SanClements_NEON_026
nmdc:bsm-11-pb9pj270,SanClements_NEON_065,SanClements NEON (EMSL 50718),[],SanClements_NEON_065
nmdc:bsm-11-g7ye1t22,SanClements_NEON_082,SanClements NEON (EMSL 50718),[],SanClements_NEON_082
nmdc:bsm-11-zjd4tn74,SanClements_NEON_054,SanClements NEON (EMSL 50718),[],SanClements_NEON_054
nmdc:bsm-11-37azfw95,SanClements_NEON_050,SanClements NEON (EMSL 50718),[],SanClements_NEON_050
nmdc:bsm-11-5z9de583,SanClements_NEON_073,SanClements NEON (EMSL 50718),[],SanClements_NEON_073
nmdc:bsm-11-0qbfyr37,SanClements_NEON_072,SanClements NEON (EMSL 50718),[],SanClements_NEON_072
nmdc:bsm-11-586jjm66,SanClements_NEON_071,SanClements NEON (EMSL 50718),[],SanClements_NEON_071
nmdc:bsm-11-57pwf355,SanClements_NEON_077,SanClements NEON (EMSL 50718),[],SanClements_NEON_077
nmdc:bsm-11-64vz3p24,SanClements_NEON_097,SanClements NEON (EMSL 50718),[],SanClements_NEON_097
nmdc:bsm-11-364td390,SanClements_NEON_005,SanClements NEON (EMSL 50718),[],SanClements_NEON_005
nmdc:bsm-11-n7zm7091,SanClements_NEON_036,SanClements NEON (EMSL 50718),[],SanClements_NEON_036
nmdc:bsm-11-k7kn8y53,SanClements_NEON_098,SanClements NEON (EMSL 50718),[],SanClements_NEON_098
nmdc:bsm-11-qyfzwz75,SanClements_NEON_101,SanClements NEON (EMSL 50718),[],SanClements_NEON_101
nmdc:bsm-11-5r7c6h25,SanClements_NEON_064,SanClements NEON (EMSL 50718),[],SanClements_NEON_064
nmdc:bsm-11-sb9n6c14,SanClements_NEON_102,SanClements NEON (EMSL 50718),[],SanClements_NEON_102
