id,name,description,gold_biosample_identifiers,samp_name
nmdc:bsm-11-168xmm55,Lybrand_FT_46,Lybrand NEON (EMSL 50267),[],Lybrand_FT_46
nmdc:bsm-11-qa2yrv97,Lybrand_FT_47,Lybrand NEON (EMSL 50267),[],Lybrand_FT_47
nmdc:bsm-11-kdhyc122,Lybrand_FT_48,Lybrand NEON (EMSL 50267),[],Lybrand_FT_48
nmdc:bsm-11-yxcsrv80,Lybrand_FT_50,Lybrand NEON (EMSL 50267),[],Lybrand_FT_50
nmdc:bsm-11-dt3r5061,Lybrand_FT_54,Lybrand NEON (EMSL 50267),[],Lybrand_FT_54
nmdc:bsm-11-1evk3b45,Lybrand_FT_55,Lybrand NEON (EMSL 50267),[],Lybrand_FT_55
nmdc:bsm-11-94aecm50,Lybrand_FT_57,Lybrand NEON (EMSL 50267),[],Lybrand_FT_57
nmdc:bsm-11-x3xvyz63,Lybrand_FT_58,Lybrand NEON (EMSL 50267),[],Lybrand_FT_58
nmdc:bsm-11-a5p97d57,Lybrand_FT_59,Lybrand NEON (EMSL 50267),[],Lybrand_FT_59
nmdc:bsm-11-ax989290,Lybrand_FT_62,Lybrand NEON (EMSL 50267),[],Lybrand_FT_62
nmdc:bsm-11-kg4nyv82,Lybrand_FT_63,Lybrand NEON (EMSL 50267),[],Lybrand_FT_63
nmdc:bsm-11-fk61zn73,Lybrand_FT_67,Lybrand NEON (EMSL 50267),[],Lybrand_FT_67
nmdc:bsm-11-bezwmk20,Lybrand_FT_68,Lybrand NEON (EMSL 50267),[],Lybrand_FT_68
nmdc:bsm-11-k80fsj34,Lybrand_FT_69,Lybrand NEON (EMSL 50267),[],Lybrand_FT_69
nmdc:bsm-11-qds4dc02,Lybrand_FT_70,Lybrand NEON (EMSL 50267),[],Lybrand_FT_70
nmdc:bsm-11-j7r3aa94,Lybrand_FT_71,Lybrand NEON (EMSL 50267),[],Lybrand_FT_71
nmdc:bsm-11-0jdesy83,Lybrand_FT_72,Lybrand NEON (EMSL 50267),[],Lybrand_FT_72
nmdc:bsm-11-6hhjj176,Lybrand_FT_73,Lybrand NEON (EMSL 50267),[],Lybrand_FT_73
nmdc:bsm-11-h19v3371,Lybrand_FT_74,Lybrand NEON (EMSL 50267),[],Lybrand_FT_74
nmdc:bsm-11-mj1wn380,Lybrand_FT_75,Lybrand NEON (EMSL 50267),[],Lybrand_FT_75
nmdc:bsm-11-c2dcay73,Lybrand_FT_77,Lybrand NEON (EMSL 50267),[],Lybrand_FT_77
nmdc:bsm-11-ayd9z833,Lybrand_FT_78,Lybrand NEON (EMSL 50267),[],Lybrand_FT_78
nmdc:bsm-11-58bnc777,Lybrand_FT_79,Lybrand NEON (EMSL 50267),[],Lybrand_FT_79
nmdc:bsm-11-2rx2v171,Lybrand_FT_80,Lybrand NEON (EMSL 50267),[],Lybrand_FT_80
nmdc:bsm-11-xvnjap82,Lybrand_FT_81,Lybrand NEON (EMSL 50267),[],Lybrand_FT_81
nmdc:bsm-11-r8p28n34,Lybrand_FT_09,Lybrand NEON (EMSL 50267),[],Lybrand_FT_09
nmdc:bsm-11-znregv33,Lybrand_FT_11,Lybrand NEON (EMSL 50267),[],Lybrand_FT_11
nmdc:bsm-11-5x7fbf42,Lybrand_FT_13,Lybrand NEON (EMSL 50267),[],Lybrand_FT_13
nmdc:bsm-11-6a91zk58,Lybrand_FT_14,Lybrand NEON (EMSL 50267),[],Lybrand_FT_14
nmdc:bsm-11-y7aj3f62,Lybrand_FT_15,Lybrand NEON (EMSL 50267),[],Lybrand_FT_15
nmdc:bsm-11-2jsrz965,Lybrand_FT_16,Lybrand NEON (EMSL 50267),[],Lybrand_FT_16
nmdc:bsm-11-y9axdw58,Lybrand_FT_17,Lybrand NEON (EMSL 50267),[],Lybrand_FT_17
nmdc:bsm-11-8w0xhp36,Lybrand_FT_18,Lybrand NEON (EMSL 50267),[],Lybrand_FT_18
nmdc:bsm-11-sd32rh19,Lybrand_FT_22,Lybrand NEON (EMSL 50267),[],Lybrand_FT_22
nmdc:bsm-11-9n4rhn33,Lybrand_FT_25,Lybrand NEON (EMSL 50267),[],Lybrand_FT_25
nmdc:bsm-11-735mfg90,Lybrand_FT_26,Lybrand NEON (EMSL 50267),[],Lybrand_FT_26
nmdc:bsm-11-v4vm1056,Lybrand_FT_27,Lybrand NEON (EMSL 50267),[],Lybrand_FT_27
nmdc:bsm-11-0806bb27,Lybrand_FT_28,Lybrand NEON (EMSL 50267),[],Lybrand_FT_28
nmdc:bsm-11-tg45jq97,Lybrand_FT_30,Lybrand NEON (EMSL 50267),[],Lybrand_FT_30
nmdc:bsm-11-asckb102,Lybrand_FT_32,Lybrand NEON (EMSL 50267),[],Lybrand_FT_32
nmdc:bsm-11-0egxc971,Lybrand_FT_34,Lybrand NEON (EMSL 50267),[],Lybrand_FT_34
nmdc:bsm-11-gq90tb65,Lybrand_FT_38,Lybrand NEON (EMSL 50267),[],Lybrand_FT_38
nmdc:bsm-11-bqtk8606,Lybrand_FT_40,Lybrand NEON (EMSL 50267),[],Lybrand_FT_40
nmdc:bsm-11-nf4e6z46,Lybrand_FT_42,Lybrand NEON (EMSL 50267),[],Lybrand_FT_42
nmdc:bsm-11-m0gqjs15,Lybrand_FT_43,Lybrand NEON (EMSL 50267),[],Lybrand_FT_43
nmdc:bsm-11-6aafex28,Lybrand_FT_44,Lybrand NEON (EMSL 50267),[],Lybrand_FT_44
nmdc:bsm-11-xjn64a84,Lybrand_FT_45,Lybrand NEON (EMSL 50267),[],Lybrand_FT_45
nmdc:bsm-11-w6b84x52,Lybrand_FT_49,Lybrand NEON (EMSL 50267),[],Lybrand_FT_49
nmdc:bsm-11-g71van60,Lybrand_FT_51,Lybrand NEON (EMSL 50267),[],Lybrand_FT_51
nmdc:bsm-11-w51n4t52,Lybrand_FT_52,Lybrand NEON (EMSL 50267),[],Lybrand_FT_52
nmdc:bsm-11-tm4de928,Lybrand_FT_53,Lybrand NEON (EMSL 50267),[],Lybrand_FT_53
nmdc:bsm-11-7ewmnr49,Lybrand_FT_56,Lybrand NEON (EMSL 50267),[],Lybrand_FT_56
nmdc:bsm-11-njtbj607,Lybrand_FT_60,Lybrand NEON (EMSL 50267),[],Lybrand_FT_60
nmdc:bsm-11-7g2azz24,Lybrand_FT_61,Lybrand NEON (EMSL 50267),[],Lybrand_FT_61
nmdc:bsm-11-f7b8rf18,Lybrand_FT_64,Lybrand NEON (EMSL 50267),[],Lybrand_FT_64
nmdc:bsm-11-khwtxx58,Lybrand_FT_65,Lybrand NEON (EMSL 50267),[],Lybrand_FT_65
nmdc:bsm-11-11avmz59,Lybrand_FT_66,Lybrand NEON (EMSL 50267),[],Lybrand_FT_66
nmdc:bsm-11-4e74mc69,Lybrand_FT_76,Lybrand NEON (EMSL 50267),[],Lybrand_FT_76
nmdc:bsm-11-k15r9e35,Lybrand_Permafrost_Y1_24,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_24
nmdc:bsm-11-w9adh495,Lybrand_Permafrost_Y1_25,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_25
nmdc:bsm-11-qdmxxf54,Lybrand_Permafrost_Y1_28,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_28
nmdc:bsm-11-v6g7n582,Lybrand_Permafrost_Y1_29,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_29
nmdc:bsm-11-v1xm4a94,Lybrand_Permafrost_Y1_30,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_30
nmdc:bsm-11-4qsq3342,Lybrand_Permafrost_Y1_33,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_33
nmdc:bsm-11-9mc76767,Lybrand_Permafrost_Y1_34,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_34
nmdc:bsm-11-xbnfea23,Lybrand_Permafrost_Y1_35,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_35
nmdc:bsm-11-krxtta40,Lybrand_Permafrost_Y1_37,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_37
nmdc:bsm-11-ez3ya077,Lybrand_Permafrost_Y1_39,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_39
nmdc:bsm-11-cg81dh17,Lybrand_Permafrost_Y1_40,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_40
nmdc:bsm-11-2k7hev41,Lybrand_Permafrost_Y1_41,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_41
nmdc:bsm-11-a02t4p66,Lybrand_Permafrost_Y1_43,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_43
nmdc:bsm-11-d015e695,Lybrand_Permafrost_Y1_44,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_44
nmdc:bsm-11-4d160d95,Lybrand_Permafrost_Y1_45,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_45
nmdc:bsm-11-y9gtp379,Lybrand_Permafrost_Y1_47,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_47
nmdc:bsm-11-dff0sj08,Lybrand_Permafrost_Y1_48,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_48
nmdc:bsm-11-1mzcdt88,Lybrand_Permafrost_Y1_49,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_49
nmdc:bsm-11-ey4dne59,Lybrand_Permafrost_Y1_52,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_52
nmdc:bsm-11-01bbrr08,Lybrand_Permafrost_Y1_53,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_53
nmdc:bsm-11-zrmt9512,Lybrand_Permafrost_Y1_55,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_55
nmdc:bsm-11-7gszgx86,Lybrand_Permafrost_Y1_58,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_58
nmdc:bsm-11-rvtcjz14,Lybrand_Permafrost_Y1_61,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_61
nmdc:bsm-11-vyt1ek46,Lybrand_Permafrost_Y1_65,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_65
nmdc:bsm-11-p93kbp07,Lybrand_Permafrost_Y1_70,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_70
nmdc:bsm-11-1znmzj36,Lybrand_Permafrost_Y1_71,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_71
nmdc:bsm-11-dnpz7239,Lybrand_Permafrost_Y1_72,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_72
nmdc:bsm-11-vqdk8776,Lybrand_Permafrost_Y1_77,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_77
nmdc:bsm-11-1fw8f065,Lybrand_Permafrost_Y1_78,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_78
nmdc:bsm-11-nry8v628,Lybrand_Permafrost_Y1_73,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_73
nmdc:bsm-11-npdqsc91,Lybrand_Permafrost_Y1_03,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_03
nmdc:bsm-11-phd12563,Lybrand_Permafrost_Y1_08,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_08
nmdc:bsm-11-kf955787,Lybrand_Permafrost_Y1_09,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_09
nmdc:bsm-11-tfs5e732,Lybrand_Permafrost_Y1_10,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_10
nmdc:bsm-11-2576zp70,Lybrand_Permafrost_Y1_13,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_13
nmdc:bsm-11-ekbwev02,Lybrand_Permafrost_Y1_14,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_14
nmdc:bsm-11-32c8zj88,Lybrand_Permafrost_Y1_15,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_15
nmdc:bsm-11-05yzsw39,Lybrand_Permafrost_Y1_18,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_18
nmdc:bsm-11-44c0aq57,Lybrand_Permafrost_Y1_19,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_19
nmdc:bsm-11-geqw3z50,Lybrand_Permafrost_Y1_20,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_20
nmdc:bsm-11-aa9a5t32,Lybrand_Permafrost_Y1_23,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_23
nmdc:bsm-11-k2mmz569,Lybrand_Permafrost_Y1_04,Lybrand (EMSL 50267),[],Lybrand_Permafrost_Y1_04
nmdc:bsm-11-0jw46z66,Lybrand_GHG_01,Lybrand NEON (EMSL 50267),,Lybrand_GHG_01
nmdc:bsm-11-s221qj30,Lybrand_GHG_02,Lybrand NEON (EMSL 50267),,Lybrand_GHG_02
nmdc:bsm-11-j0egy146,Lybrand_GHG_03,Lybrand NEON (EMSL 50267),,Lybrand_GHG_03
nmdc:bsm-11-2ak1nh85,Lybrand_GHG_09,Lybrand NEON (EMSL 50267),,Lybrand_GHG_09
nmdc:bsm-11-zbhbtw37,Lybrand_GHG_11,Lybrand NEON (EMSL 50267),,Lybrand_GHG_11
nmdc:bsm-11-5jp1rt97,Lybrand_GHG_12,Lybrand NEON (EMSL 50267),,Lybrand_GHG_12
nmdc:bsm-11-sss6cr19,Lybrand_GHG_13,Lybrand NEON (EMSL 50267),,Lybrand_GHG_13
nmdc:bsm-11-rhx6ak95,Lybrand_GHG_15,Lybrand NEON (EMSL 50267),,Lybrand_GHG_15
nmdc:bsm-11-23w82g32,Lybrand_GHG_18,Lybrand NEON (EMSL 50267),,Lybrand_GHG_18
nmdc:bsm-11-bv1r0a82,Lybrand_GHG_20,Lybrand NEON (EMSL 50267),,Lybrand_GHG_20
nmdc:bsm-11-m2t0ph05,Lybrand_GHG_21,Lybrand NEON (EMSL 50267),,Lybrand_GHG_21
nmdc:bsm-11-8b8b0344,Lybrand_GHG_30,Lybrand NEON (EMSL 50267),,Lybrand_GHG_30
nmdc:bsm-11-2da2vw35,Lybrand_Permafrost_HE_01,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_HE_01
nmdc:bsm-11-2n9dds87,Lybrand_Permafrost_HE_02,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_HE_02
nmdc:bsm-11-yvy4ef54,Lybrand_Permafrost_HE_03,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_HE_03
nmdc:bsm-11-jsh5v570,Lybrand_Permafrost_HE_04,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_HE_04
nmdc:bsm-11-b9e92f33,Lybrand_Permafrost_HE_05,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_HE_05
nmdc:bsm-11-3h770p55,Lybrand_Permafrost_HE_06,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_HE_06
nmdc:bsm-11-gp9a0507,Lybrand_Permafrost_HE_07,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_HE_07
nmdc:bsm-11-98j26t02,Lybrand_Permafrost_HE_08,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_HE_08
nmdc:bsm-11-6x2g8r71,Lybrand_Permafrost_HE_09,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_HE_09
nmdc:bsm-11-k394qm56,Lybrand_Permafrost_HE_10,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_HE_10
nmdc:bsm-11-40d3zr06,Lybrand_Permafrost_HE_11,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_HE_11
nmdc:bsm-11-ebhtts36,Lybrand_Permafrost_HE_12,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_HE_12
nmdc:bsm-11-kk2jhd47,Lybrand_Permafrost_HE_13,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_HE_13
nmdc:bsm-11-hwrzs263,Lybrand_Permafrost_HE_14,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_HE_14
nmdc:bsm-11-w8afh383,Lybrand_Permafrost_HE_15,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_HE_15
nmdc:bsm-11-ep5r7r80,Lybrand_Permafrost_BOG_01,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_01
nmdc:bsm-11-0g3qzr85,Lybrand_Permafrost_BOG_02,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_02
nmdc:bsm-11-hhjjr884,Lybrand_Permafrost_BOG_03,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_03
nmdc:bsm-11-nqk5dr64,Lybrand_Permafrost_BOG_04,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_04
nmdc:bsm-11-5yfqa659,Lybrand_Permafrost_BOG_05,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_05
nmdc:bsm-11-qhv2mh63,Lybrand_Permafrost_BOG_06,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_06
nmdc:bsm-11-zxhgsy60,Lybrand_Permafrost_BOG_07,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_07
nmdc:bsm-11-rrmwch98,Lybrand_Permafrost_BOG_08,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_08
nmdc:bsm-11-96rt7821,Lybrand_Permafrost_BOG_09,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_09
nmdc:bsm-11-an7h4q55,Lybrand_Permafrost_BOG_10,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_10
nmdc:bsm-11-fcn4wj44,Lybrand_Permafrost_BOG_11,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_11
nmdc:bsm-11-gf6wk484,Lybrand_Permafrost_BOG_12,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_12
nmdc:bsm-11-beyrfr12,Lybrand_Permafrost_BOG_13,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_13
nmdc:bsm-11-6aqn1d84,Lybrand_Permafrost_BOG_14,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_14
nmdc:bsm-11-62ms6432,Lybrand_Permafrost_BOG_15,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_15
nmdc:bsm-11-kbd2sh75,Lybrand_Permafrost_BOG_16,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_16
nmdc:bsm-11-wfembd06,Lybrand_Permafrost_BOG_18,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_18
nmdc:bsm-11-3zk3cr38,Lybrand_Permafrost_BOG_19,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_19
nmdc:bsm-11-68fav565,Lybrand_Permafrost_BOG_21,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_BOG_21
nmdc:bsm-11-mnt6wk49,Lybrand_GHG_04,Lybrand NEON (EMSL 50267),,Lybrand_GHG_04
nmdc:bsm-11-2qvytb70,Lybrand_GHG_05,Lybrand NEON (EMSL 50267),,Lybrand_GHG_05
nmdc:bsm-11-z058tx70,Lybrand_GHG_06,Lybrand NEON (EMSL 50267),,Lybrand_GHG_06
nmdc:bsm-11-kszcr583,Lybrand_GHG_07,Lybrand NEON (EMSL 50267),,Lybrand_GHG_07
nmdc:bsm-11-c7x56n64,Lybrand_GHG_08,Lybrand NEON (EMSL 50267),,Lybrand_GHG_08
nmdc:bsm-11-a5qmsk75,Lybrand_GHG_10,Lybrand NEON (EMSL 50267),,Lybrand_GHG_10
nmdc:bsm-11-5ab1d781,Lybrand_GHG_14,Lybrand NEON (EMSL 50267),,Lybrand_GHG_14
nmdc:bsm-11-bd4dae45,Lybrand_GHG_16,Lybrand NEON (EMSL 50267),,Lybrand_GHG_16
nmdc:bsm-11-c59t0s62,Lybrand_GHG_17,Lybrand NEON (EMSL 50267),,Lybrand_GHG_17
nmdc:bsm-11-6tyygj74,Lybrand_GHG_19,Lybrand NEON (EMSL 50267),,Lybrand_GHG_19
nmdc:bsm-11-3cpn7p52,Lybrand_GHG_22,Lybrand NEON (EMSL 50267),,Lybrand_GHG_22
nmdc:bsm-11-he7tyj67,Lybrand_GHG_23,Lybrand NEON (EMSL 50267),,Lybrand_GHG_23
nmdc:bsm-11-5x1tcz23,Lybrand_GHG_24,Lybrand NEON (EMSL 50267),,Lybrand_GHG_24
nmdc:bsm-11-zdzkng74,Lybrand_GHG_25,Lybrand NEON (EMSL 50267),,Lybrand_GHG_25
nmdc:bsm-11-tpdee537,Lybrand_GHG_26,Lybrand NEON (EMSL 50267),,Lybrand_GHG_26
nmdc:bsm-11-cx48f717,Lybrand_GHG_27,Lybrand NEON (EMSL 50267),,Lybrand_GHG_27
nmdc:bsm-11-5f882a33,Lybrand_GHG_28,Lybrand NEON (EMSL 50267),,Lybrand_GHG_28
nmdc:bsm-11-jwx5gc50,Lybrand_GHG_29,Lybrand NEON (EMSL 50267),,Lybrand_GHG_29
nmdc:bsm-11-4hqyvq36,Lybrand_Permafrost_FB_1,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_FB_1
nmdc:bsm-11-14hxc920,Lybrand_Permafrost_FB_2,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_FB_2
nmdc:bsm-11-9d3bnb32,Lybrand_Permafrost_FB_3,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_FB_3
nmdc:bsm-11-f2d61z81,Lybrand_Permafrost_FB_4,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_FB_4
nmdc:bsm-11-ts14qh55,Lybrand_Permafrost_LC_01,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_LC_01
nmdc:bsm-11-dh031a34,Lybrand_Permafrost_LC_02,Lybrand NEON (EMSL 50267),,Lybrand_Permafrost_LC_02
